ISIN,Name,Description,Clean Price,Yield (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
US25714PAJ75,DRGB 8.63% 2027-04-20 USD,8.625% BD REDEEM 20/04/2027 USD 100000 - 144A,103.575,6.113959,8.625,Government,2027-04-20,Dominican Republic,N,USD,2006-03-20T00:00:00Z,2025-05-22T00:00:00Z,Active
USP3579EAG28,DRGB 8.63% 2027-04-20 USD,8.625% BD REDEEM 20/04/2027 USD 100000 - Reg S,103.575,6.113959,8.625,Government,2027-04-20,Dominican Republic,N,USD,2006-03-20T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1005207415,DRGB 11.38% 2040-01-06 DOP,11.375% BD REDEEM 06/01/2040 DOP 100000,108.149,10.28206,11.375,Government,2040-01-06,Dominican Republic,,DOP,2020-03-06T00:00:00Z,2025-05-22T00:00:00Z,Active
US25714PER55,DRGB 13.00% 2025-12-05 DOP,13% BD REDEEM 05/12/2025 DOP 1000,99.824,13.322498,13.0,Government,2025-12-05,Dominican Republic,N,DOP,2023-01-06T00:00:00Z,2025-05-22T00:00:00Z,Active
XS2574077058,DRGB 13.00% 2025-12-05 DOP,13% BD REDEEM 05/12/2025 DOP 1000 - Reg S,99.824,13.322498,13.0,Government,2025-12-05,Dominican Republic,,DOP,2023-01-06T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1002227721,DRGB 9.00% 2026-12-11 DOP,9% BD REDEEM 11/12/2026 DOP 10000,94.784,12.801784,9.0,Government,2026-12-11,Dominican Republic,,DOP,,2025-05-22T00:00:00Z,Active
US25714RDA95,DRGB 12.00% 2025-10-03 USD,12% NT REDEEM 03/10/2025 USD - 144A,99.605,13.038649,12.0,Government,2025-10-03,Dominican Republic,N,USD,2022-10-03T00:00:00Z,2025-05-22T00:00:00Z,Active
XS2543286004,DRGB 12.00% 2025-10-03 USD,12% BD REDEEM 03/10/2025 USD 1000 - Reg S,99.605,13.038649,12.0,Government,2025-10-03,Dominican Republic,,USD,2022-10-03T00:00:00Z,2025-05-22T00:00:00Z,Active
US25714RCZ55,DRGB 12.00% 2025-08-08 USD,12% BD REDEEM 08/08/2025 USD - 144A,99.72,13.14948,12.0,Government,2025-08-08,Dominican Republic,N,USD,2022-08-08T00:00:00Z,2025-05-22T00:00:00Z,Active
XS2520374625,DRGB 12.00% 2025-08-08 DOP,12% BD REDEEM 08/08/2025 DOP 10000 - Reg S,99.72,13.14948,12.0,Government,2025-08-08,Dominican Republic,,DOP,2022-08-08T00:00:00Z,2025-05-22T00:00:00Z,Active
XS2443892281,DRGB 8.00% 2027-02-12 DOP,8% BD REDEEM 12/02/2027 DOP 10000,92.921,12.680066,8.0,Government,2027-02-12,Dominican Republic,,DOP,2022-02-12T00:00:00Z,2025-05-22T00:00:00Z,Active
US25714WAG87,DRGB 11.00% 2026-11-06 USD,11% BD REDEEM 06/11/2026 USD - 144A,101.782,9.64901,11.0,Government,2026-11-06,Dominican Republic,N,USD,2016-05-03T00:00:00Z,2025-05-22T00:00:00Z,Active
XS1410454406,DRGB 11.00% 2026-11-06 USD,11% NT REDEEM 06/11/2026 USD 100000,101.782,9.64901,11.0,Government,2026-11-06,Dominican Republic,N,USD,2016-05-06T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1005205310,DRGB 11.00% 2026-11-06 DOP,11% BD REDEEM 06/11/2026 DOP 100000,101.783,9.64808,11.0,Government,2026-11-06,Dominican Republic,N,DOP,2016-05-06T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1005206011,DRGB 12.00% 2032-03-05 DOP,12% BD REDEEM 05/03/2032 DOP 100000,109.214,10.084688,12.0,Government,2032-03-05,Dominican Republic,N,DOP,2017-03-05T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1005211227,DRGB 12.75% 2029-09-23 DOP,13% BD REDEEM 10/01/2034 DOP 100000,109.813,9.90099,12.75,Government,2029-09-23,Dominican Republic,,DOP,2022-09-23T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1005207217,DRGB 10.38% 2030-01-11 DOP,10.375% BD REDEEM 11/01/2030 DOP 1000,101.665,9.911622,10.375,Government,2030-01-11,Dominican Republic,N,DOP,2020-01-11T00:00:00Z,2025-05-22T00:00:00Z,Active
US25714WBR34,DRGB 12.75% 2029-09-23 USD,12.75% NT REDEEM 23/09/2029 USD,109.809,9.901905,12.75,Government,2029-09-23,Dominican Republic,N,USD,2022-09-23T00:00:00Z,2025-05-22T00:00:00Z,Active
XS2538786737,DRGB 12.75% 2029-09-23 DOP,12.75% BD REDEEM 23/09/2029 DOP 1000 - REG S,109.809,9.901905,12.75,Government,2029-09-23,Dominican Republic,,DOP,2022-09-23T00:00:00Z,2025-05-22T00:00:00Z,Active
US25714PEU84,DRGB 13.00% 2026-01-30 USD,13% NT REDEEM 30/01/2026 USD - 144A,100.001,12.923217,13.0,Government,2026-01-30,Dominican Republic,N,USD,2023-01-30T00:00:00Z,2025-05-22T00:00:00Z,Active
XS2584621499,DRGB 13.00% 2026-01-30 DOP,13% BD REDEEM 30/01/2026 DOP 1000000 - Reg S,100.001,12.923217,13.0,Government,2026-01-30,Dominican Republic,,DOP,2023-02-03T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1005206722,DRGB 11.50% 2034-01-11 DOP,11.50% BD REDEEM 11/01/2034 DOP 100000,107.516,10.166797,11.5,Government,2034-01-11,Dominican Republic,N,DOP,2019-01-11T00:00:00Z,2025-05-22T00:00:00Z,Active
US25714WBG78,DRGB 11.50% 2034-01-11 USD,11.50% BD REDEEM 11/01/2034 USD - 144A,107.516,10.166797,11.5,Government,2034-01-11,Dominican Republic,,USD,2019-01-11T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1005208629,DRGB 8.63% 2031-11-06 DOP,8.625% BD REDEEM 06/11/2031 DOP 100000,93.682,10.04096,8.625,Government,2031-11-06,Dominican Republic,N,DOP,2021-11-06T00:00:00Z,2025-05-22T00:00:00Z,Active
US25714PEA21,DRGB 9.75% 2026-06-05 DOP,9.75% BD REDEEM 05/06/2026 DOP 8000000 - 144A,100.308,9.422898,9.75,Government,2026-06-05,Dominican Republic,N,DOP,2019-06-05T00:00:00Z,2025-05-22T00:00:00Z,Active
USP3579ECD78,DRGB 9.75% 2026-06-05 DOP,9.75% BD REDEEM 05/06/2026 DOP 8000000 - Reg S,100.308,9.422898,9.75,Government,2026-06-05,Dominican Republic,N,DOP,2019-06-05T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1005205112,DRGB 10.88% 2026-01-14 DOP,10.88% BD REDEEM 14/01/2026 DOP 100000,100.736,9.62523,10.88,Government,2026-01-14,Dominican Republic,,DOP,2016-01-14T00:00:00Z,2025-05-22T00:00:00Z,Active
XS1355504181,DRGB 10.88% 2026-01-14 DOP,10.875% BD REDEEM 14/01/2026 DOP 100000,100.736,9.62523,10.875,Government,2026-01-14,Dominican Republic,N,DOP,2016-01-14T00:00:00Z,2025-05-22T00:00:00Z,Active
US25714PEW41,DRGB 11.25% 2035-09-15 DOP,11.25% BD REDEEM 15/09/2035 DOP 8000000 - 144A,103.291,10.709585,11.25,Government,2035-09-15,Dominican Republic,Y,DOP,2023-09-15T00:00:00Z,2025-05-22T00:00:00Z,Active
USP3579ECS48,DRGB 11.25% 2035-09-15 DOP,11.25% BD REDEEM 15/09/2035 DOP 8000000 - Reg S,103.291,10.709585,11.25,Government,2035-09-15,Dominican Republic,Y,DOP,2023-09-15T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1005207316,DRGB 10.88% 2035-01-05 DOP,10.875% BD REDEEM 05/01/2035 DOP 1000,101.173,10.672566,10.875,Government,2035-01-05,Dominican Republic,N,DOP,2020-01-05T00:00:00Z,2025-05-22T00:00:00Z,Active
US25714PES39,DRGB 13.63% 2033-02-03 DOP,13.625% BD REDEEM 03/02/2033 DOP 8000000 - 144A,114.737,10.75283,13.625,Government,2033-02-03,Dominican Republic,Y,DOP,2023-02-03T00:00:00Z,2025-05-22T00:00:00Z,Active
USP3579ECQ81,DRGB 13.63% 2033-02-03 DOP,13.625% BD REDEEM 03/02/2033 DOP 50000 - Reg S,114.737,10.75283,13.625,Government,2033-02-03,Dominican Republic,Y,DOP,2023-02-03T00:00:00Z,2025-05-22T00:00:00Z,Active
US25714PDJ49,DRGB 6.88% 2026-01-29 USD,6.875% NT REDEEM 29/01/2026 USD 100000 - 144A,100.9,5.504529,6.875,Government,2026-01-29,Dominican Republic,N,USD,2016-01-29T00:00:00Z,2025-05-22T00:00:00Z,Active
USP3579EBK21,DRGB 6.88% 2026-01-29 USD,6.875% NT REDEEM 29/01/2026 USD 100000 - Reg S,100.9,5.504529,6.875,Government,2026-01-29,Dominican Republic,N,USD,2016-01-29T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1005212019,DRGB 13.63% 2034-02-10 DOP,13.625% BD REDEEM 10/02/2034 DOP 100000,117.95,10.432348,13.625,Government,2034-02-10,Dominican Republic,,DOP,2023-02-10T00:00:00Z,2025-05-22T00:00:00Z,Active
XS2587319729,DRGB 13.63% 2034-02-10 USD,13.625% DB REDEEM 10/02/2034 USD 1000,117.945,10.43325,13.625,Government,2034-02-10,Dominican Republic,,USD,2023-02-07T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1005206516,DRGB 10.75% 2028-08-11 DOP,10.75% BD REDEEM 11/08/2028 DOP 100000,102.543,9.790651,10.75,Government,2028-08-11,Dominican Republic,N,DOP,2018-08-10T00:00:00Z,2025-05-22T00:00:00Z,Active
XS1865319815,DRGB 10.75% 2028-08-11 DOP,10.75% BD REDEEM 11/08/2028 DOP 100000 - Bearer,102.543,9.790699,10.75,Government,2028-08-11,Dominican Republic,,DOP,2018-08-10T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1005210922,DRGB 13.00% 2034-06-09 DOP,13% BD REDEEM 09/06/2034 DOP 100000,114.561,10.470573,13.0,Government,2034-06-09,Dominican Republic,,DOP,2022-06-10T00:00:00Z,2025-05-22T00:00:00Z,Active
XS2490821126,DRGB 13.00% 2034-06-09 DOP,13% BD REDEEM 09/06/2034 DOP 1000 - Reg S,114.556,10.471458,13.0,Government,2034-06-09,Dominican Republic,,DOP,2022-06-10T00:00:00Z,2025-05-22T00:00:00Z,Active
DO1005207027,DRGB 10.75% 2029-11-08 DOP,10.75% BD REDEEM 08/11/2029 DOP 100000,102.561,10.02103,10.75,Government,2029-11-08,Dominican Republic,N,DOP,2019-11-08T00:00:00Z,2025-05-22T00:00:00Z,Active
US25714WBH51,DRGB 10.75% 2029-11-08 DOP,10.75% BD REDEEM 08/11/2029 USD - 144A,102.558,10.02196,10.75,Government,2029-11-08,Dominican Republic,,DOP,2019-11-08T00:00:00Z,2025-05-22T00:00:00Z,Active
