ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
US25714PEE43,DRGB 5.88% 2060-01-30 USD,5.875% BD REDEEM 30/01/2060 USD 150000 - 144A,84.821,7.048487,6.926545,5.875,Government,2060-01-30,Dominican Republic,Y,USD,2020-01-30T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579ECG00,DRGB 5.88% 2060-01-30 USD,5.875% BD REDEEM 30/01/2060 USD 150000 - Reg S,84.821,7.048487,6.926545,5.875,Government,2060-01-30,Dominican Republic,Y,USD,2020-01-30T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PEB04,DRGB 6.40% 2049-06-05 USD,6.40% BD REDEEM 05/06/2049 USD 150000 - 144A,94.4,6.87995,6.763273,6.4,Government,2049-06-05,Dominican Republic,Y,USD,2019-06-05T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579ECE51,DRGB 6.40% 2049-06-05 USD,6.40% BD REDEEM 05/06/2049 USD 150000 - Reg S,94.4,6.87995,6.763273,6.4,Government,2049-06-05,Dominican Republic,Y,USD,2019-06-05T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579ECV76,DRGB 10.75% 2036-06-01 DOP,10.75% BD REDEEM 01/06/2036 DOP 8000 - Reg S,105.286,9.941055,9.698939,10.75,Government,2036-06-01,Dominican Republic,Y,DOP,2024-07-01T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PFA12,DRGB 10.75% 2036-06-01 DOP,10.75% BD REDEEM 01/06/2036 DOP,105.286,9.941055,9.698939,10.75,Government,2036-06-01,Dominican Republic,Y,DOP,2024-07-01T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PCF36,DRGB 7.45% 2044-04-30 USD,7.45% BD REDEEM 30/04/2044 USD 100000 - 144A,105.023,6.965358,6.846448,7.45,Government,2044-04-30,Dominican Republic,N,USD,2014-04-30T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579EAY34,DRGB 7.45% 2044-04-30 USD,7.45% BD REDEEM 30/04/2044 USD 100000 - Reg S,105.023,6.965358,6.846448,7.45,Government,2044-04-30,Dominican Republic,N,USD,2014-04-30T00:00:00Z,2025-07-10T00:00:00Z,Active
DO1005208322,DRGB 6.75% 2040-07-24 USD,6.75% BD REDEEM 24/07/2040 USD 1000,100.309,6.71662,6.605731,6.75,Government,2040-07-24,Dominican Republic,N,USD,2020-07-24T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PCW68,DRGB 6.85% 2045-01-27 USD,6.85% BD REDEEM 27/01/2045 USD 100000 - 144A,99.668,6.880708,6.763852,6.85,Government,2045-01-27,Dominican Republic,N,USD,2015-01-27T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579EBE60,DRGB 6.85% 2045-01-27 USD,6.85% BD REDEEM 27/01/2045 USD 100000 - Reg S,99.668,6.880708,6.763852,6.85,Government,2045-01-27,Dominican Republic,N,USD,2015-01-27T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PDW59,DRGB 6.50% 2048-02-15 USD,6.50% BD REDEEM 15/02/2048 USD 150000 - 144A,95.376,6.906394,6.787912,6.5,Government,2048-02-15,Dominican Republic,Y,USD,2018-02-15T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579EBY25,DRGB 6.50% 2048-02-15 USD,6.50% BD REDEEM 15/02/2048 USD 150000 - Reg S,95.376,6.906394,6.787912,6.5,Government,2048-02-15,Dominican Republic,Y,USD,2018-02-15T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PEG90,DRGB 5.30% 2041-01-21 USD,5.30% BD REDEEM 21/01/2041 USD 150000 - 144A,86.372,6.727436,6.615152,5.3,Government,2041-01-21,Dominican Republic,Y,USD,2021-01-21T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579ECJ49,DRGB 5.30% 2041-01-21 USD,5.30% BD REDEEM 21/01/2041 USD 150000 - Reg S,86.372,6.727436,6.615152,5.3,Government,2041-01-21,Dominican Republic,Y,USD,2021-01-21T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PEZ71,DRGB 6.60% 2036-06-01 USD,6.60% BD REDEEM 01/06/2036 USD 150000 - 144A,100.898,6.48261,6.378057,6.6,Government,2036-06-01,Dominican Republic,Y,USD,2024-07-01T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579ECU93,DRGB 6.60% 2036-06-01 USD,6.60% BD REDEEM 01/06/2036 USD 150000 - Reg S,100.898,6.48261,6.378056,6.6,Government,2036-06-01,Dominican Republic,Y,USD,2024-07-01T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PEF18,DRGB 4.88% 2032-09-23 USD,4.875% BD REDEEM 23/09/2032 USD 150000 - 144A,92.455,6.187433,6.091134,4.875,Government,2032-09-23,Dominican Republic,Y,USD,2020-09-23T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579ECH82,DRGB 4.88% 2032-09-23 USD,4.875% BD REDEEM 23/09/2032 USD 150000 - Reg S,92.455,6.187433,6.091134,4.875,Government,2032-09-23,Dominican Republic,Y,USD,2020-09-23T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PES39,DRGB 13.63% 2033-02-03 DOP,13.625% BD REDEEM 03/02/2033 DOP 8000000 - 144A,118.89,10.001566,9.750468,13.625,Government,2033-02-03,Dominican Republic,Y,DOP,2023-02-03T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579ECQ81,DRGB 13.63% 2033-02-03 DOP,13.625% BD REDEEM 03/02/2033 DOP 50000 - Reg S,118.89,10.001566,9.750468,13.625,Government,2033-02-03,Dominican Republic,Y,DOP,2023-02-03T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PET12,DRGB 7.05% 2031-02-03 USD,7.05% NT REDEEM 03/02/2031 USD 1000 - 144A,105.004,5.97828,5.884938,7.05,Government,2031-02-03,Dominican Republic,Y,USD,2023-02-03T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579ECR64,DRGB 7.05% 2031-02-03 USD,7.05% BD REDEEM 03/02/2031 USD 150000 - Reg S,105.004,5.97828,5.884938,7.05,Government,2031-02-03,Dominican Republic,Y,USD,2023-02-03T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PED69,DRGB 4.50% 2030-01-30 USD,4.50% BD REDEEM 30/01/2030 USD 150000 - 144A,94.978,5.768563,5.683306,4.5,Government,2030-01-30,Dominican Republic,Y,USD,2020-01-30T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579ECF27,DRGB 4.50% 2030-01-30 USD,4.50% BD REDEEM 30/01/2030 USD 150000 - Reg S,94.978,5.768563,5.683306,4.5,Government,2030-01-30,Dominican Republic,Y,USD,2020-01-30T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PDZ80,DRGB 6.00% 2028-07-19 USD,6% NT REDEEM 19/07/2028 USD 150000 - 144A,101.61,5.415125,5.342206,6.0,Government,2028-07-19,Dominican Republic,Y,USD,2018-07-19T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579ECB13,DRGB 6.00% 2028-07-19 USD,6% NT REDEEM 19/07/2028 USD 150000 - Reg S,101.61,5.415125,5.342206,6.0,Government,2028-07-19,Dominican Republic,Y,USD,2018-07-19T00:00:00Z,2025-07-10T00:00:00Z,Active
DO1005208215,DRGB 6.95% 2029-06-26 USD,6.95% BD REDEEM 26/06/2029 USD 1000,104.998,5.52696,5.450937,6.95,Government,2029-06-26,Dominican Republic,N,USD,2020-06-26T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PEN42,DRGB 6.00% 2033-02-22 USD,6% BD REDEEM 22/02/2033 USD 1000 - 144A,98.912,6.179892,6.081811,6.0,Government,2033-02-22,Dominican Republic,Y,USD,2022-02-22T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579ECN50,DRGB 6.00% 2033-02-22 USD,6% BD REDEEM 22/02/2033 USD 1000 - Reg S,98.912,6.179892,6.081811,6.0,Government,2033-02-22,Dominican Republic,Y,USD,2022-02-22T00:00:00Z,2025-07-10T00:00:00Z,Active
US25714PAJ75,DRGB 8.63% 2027-04-20 USD,8.625% BD REDEEM 20/04/2027 USD 100000 - 144A,103.628,6.129634,6.039669,8.625,Government,2027-04-20,Dominican Republic,N,USD,2006-03-20T00:00:00Z,2025-07-10T00:00:00Z,Active
USP3579EAG28,DRGB 8.63% 2027-04-20 USD,8.625% BD REDEEM 20/04/2027 USD 100000 - Reg S,103.628,6.129634,6.039669,8.625,Government,2027-04-20,Dominican Republic,N,USD,2006-03-20T00:00:00Z,2025-07-10T00:00:00Z,Active
