ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
XS2490821126,DRGB 13.00% 2034-06-09 DOP,13% BD REDEEM 09/06/2034 DOP 1000 - Reg S,117.292,10.016243,9.773888,13.0,Government,2034-06-09,Dominican Republic,,DOP,2022-06-10T00:00:00Z,2025-07-16T00:00:00Z,Active
DO1005210922,DRGB 13.00% 2034-06-09 DOP,13% BD REDEEM 09/06/2034 DOP 100000,117.296,10.015671,9.773343,13.0,Government,2034-06-09,Dominican Republic,,DOP,2022-06-10T00:00:00Z,2025-07-16T00:00:00Z,Active
DO1005212019,DRGB 13.63% 2034-02-10 DOP,13.625% BD REDEEM 10/02/2034 DOP 100000,120.327,10.029548,9.782875,13.625,Government,2034-02-10,Dominican Republic,,DOP,2023-02-10T00:00:00Z,2025-07-16T00:00:00Z,Active
XS2587319729,DRGB 13.63% 2034-02-10 USD,13.625% DB REDEEM 10/02/2034 USD 1000,120.323,10.030099,9.7834,13.625,Government,2034-02-10,Dominican Republic,,USD,2023-02-07T00:00:00Z,2025-07-16T00:00:00Z,Active
DO1005207415,DRGB 11.38% 2040-01-06 DOP,11.375% BD REDEEM 06/01/2040 DOP 100000,108.213,10.271549,10.014305,11.375,Government,2040-01-06,Dominican Republic,,DOP,2020-03-06T00:00:00Z,2025-07-16T00:00:00Z,Active
DO1005208629,DRGB 8.63% 2031-11-06 DOP,8.625% BD REDEEM 06/11/2031 DOP 100000,93.772,10.045542,9.803264,8.625,Government,2031-11-06,Dominican Republic,N,DOP,2021-11-06T00:00:00Z,2025-07-16T00:00:00Z,Active
DO1005206011,DRGB 12.00% 2032-03-05 DOP,12% BD REDEEM 05/03/2032 DOP 100000,109.244,10.051435,9.810224,12.0,Government,2032-03-05,Dominican Republic,N,DOP,2017-03-05T00:00:00Z,2025-07-16T00:00:00Z,Active
US25714PED69,DRGB 4.50% 2030-01-30 USD,4.50% BD REDEEM 30/01/2030 USD 150000 - 144A,94.885,5.797341,5.710906,4.5,Government,2030-01-30,Dominican Republic,Y,USD,2020-01-30T00:00:00Z,2025-07-16T00:00:00Z,Active
USP3579ECF27,DRGB 4.50% 2030-01-30 USD,4.50% BD REDEEM 30/01/2030 USD 150000 - Reg S,94.885,5.797341,5.710906,4.5,Government,2030-01-30,Dominican Republic,Y,USD,2020-01-30T00:00:00Z,2025-07-16T00:00:00Z,Active
USP3579ECV76,DRGB 10.75% 2036-06-01 DOP,10.75% BD REDEEM 01/06/2036 DOP 8000 - Reg S,105.613,9.892051,9.651914,10.75,Government,2036-06-01,Dominican Republic,Y,DOP,2024-07-01T00:00:00Z,2025-07-16T00:00:00Z,Active
US25714PFA12,DRGB 10.75% 2036-06-01 DOP,10.75% BD REDEEM 01/06/2036 DOP,105.613,9.892051,9.651914,10.75,Government,2036-06-01,Dominican Republic,Y,DOP,2024-07-01T00:00:00Z,2025-07-16T00:00:00Z,Active
