ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
DO1005205310,DRGB 11.00% 2026-11-06 DOP,11% BD REDEEM 06/11/2026 DOP 100000,101.562,9.590573,9.360491,11.0,Government,2026-11-06,Dominican Republic,N,DOP,2016-05-06T00:00:00Z,2025-08-14T00:00:00Z,Active
US25714WAG87,DRGB 11.00% 2026-11-06 USD,11% BD REDEEM 06/11/2026 USD - 144A,101.561,9.591089,9.360984,11.0,Government,2026-11-06,Dominican Republic,N,USD,2016-05-03T00:00:00Z,2025-08-14T00:00:00Z,Active
XS1410454406,DRGB 11.00% 2026-11-06 USD,11% NT REDEEM 06/11/2026 USD 100000,101.561,9.591089,9.360984,11.0,Government,2026-11-06,Dominican Republic,N,USD,2016-05-06T00:00:00Z,2025-08-14T00:00:00Z,Active
USP3579ECV76,DRGB 10.75% 2036-06-01 DOP,10.75% BD REDEEM 01/06/2036 DOP 8000 - Reg S,105.795,9.860874,9.624532,10.75,Government,2036-06-01,Dominican Republic,Y,DOP,2024-07-01T00:00:00Z,2025-08-14T00:00:00Z,Active
US25714PFA12,DRGB 10.75% 2036-06-01 DOP,10.75% BD REDEEM 01/06/2036 DOP,105.795,9.860874,9.624532,10.75,Government,2036-06-01,Dominican Republic,Y,DOP,2024-07-01T00:00:00Z,2025-08-14T00:00:00Z,Active
US25714PEA21,DRGB 9.75% 2026-06-05 DOP,9.75% BD REDEEM 05/06/2026 DOP 8000000 - 144A,99.917,9.823356,9.59625,9.75,Government,2026-06-05,Dominican Republic,N,DOP,2019-06-05T00:00:00Z,2025-08-14T00:00:00Z,Active
USP3579ECD78,DRGB 9.75% 2026-06-05 DOP,9.75% BD REDEEM 05/06/2026 DOP 8000000 - Reg S,99.917,9.823356,9.59625,9.75,Government,2026-06-05,Dominican Republic,N,DOP,2019-06-05T00:00:00Z,2025-08-14T00:00:00Z,Active
US25714PDJ49,DRGB 6.88% 2026-01-29 USD,6.875% NT REDEEM 29/01/2026 USD 100000 - 144A,100.8,5.080322,4.999035,6.875,Government,2026-01-29,Dominican Republic,N,USD,2016-01-29T00:00:00Z,2025-08-14T00:00:00Z,Active
USP3579EBK21,DRGB 6.88% 2026-01-29 USD,6.875% NT REDEEM 29/01/2026 USD 100000 - Reg S,100.8,5.080322,4.999035,6.875,Government,2026-01-29,Dominican Republic,N,USD,2016-01-29T00:00:00Z,2025-08-14T00:00:00Z,Active
US25714PAJ75,DRGB 8.63% 2027-04-20 USD,8.625% BD REDEEM 20/04/2027 USD 100000 - 144A,104.0,5.855184,5.780418,8.625,Government,2027-04-20,Dominican Republic,N,USD,2006-03-20T00:00:00Z,2025-08-14T00:00:00Z,Active
USP3579EAG28,DRGB 8.63% 2027-04-20 USD,8.625% BD REDEEM 20/04/2027 USD 100000 - Reg S,104.0,5.855184,5.780418,8.625,Government,2027-04-20,Dominican Republic,N,USD,2006-03-20T00:00:00Z,2025-08-14T00:00:00Z,Active
DO1002227721,DRGB 9.00% 2026-12-11 DOP,9% BD REDEEM 11/12/2026 DOP 10000,96.04,12.310465,11.946543,9.0,Government,2026-12-11,Dominican Republic,,DOP,,2025-08-14T00:00:00Z,Active
DO1005206516,DRGB 10.75% 2028-08-11 DOP,10.75% BD REDEEM 11/08/2028 DOP 100000,103.004,9.560772,9.336338,10.75,Government,2028-08-11,Dominican Republic,N,DOP,2018-08-10T00:00:00Z,2025-08-14T00:00:00Z,Active
XS1865319815,DRGB 10.75% 2028-08-11 DOP,10.75% BD REDEEM 11/08/2028 DOP 100000 - Bearer,103.004,9.560837,9.336401,10.75,Government,2028-08-11,Dominican Republic,,DOP,2018-08-10T00:00:00Z,2025-08-14T00:00:00Z,Active
US25714RDA95,DRGB 12.00% 2025-10-03 USD,12% NT REDEEM 03/10/2025 USD - 144A,99.631,14.555406,14.021046,12.0,Government,2025-10-03,Dominican Republic,N,USD,2022-10-03T00:00:00Z,2025-08-14T00:00:00Z,Active
XS2543286004,DRGB 12.00% 2025-10-03 USD,12% BD REDEEM 03/10/2025 USD 1000 - Reg S,99.631,14.555406,14.021046,12.0,Government,2025-10-03,Dominican Republic,,USD,2022-10-03T00:00:00Z,2025-08-14T00:00:00Z,Active
XS2443892281,DRGB 8.00% 2027-02-12 DOP,8% BD REDEEM 12/02/2027 DOP 10000,94.701,11.982296,11.613302,8.0,Government,2027-02-12,Dominican Republic,,DOP,2022-02-12T00:00:00Z,2025-08-14T00:00:00Z,Active
DO1005208728,DRGB 8.00% 2028-11-06 DOP,8% BD REDEEM 06/11/2028 DOP 100000,96.195,9.561268,9.338958,8.0,Government,2028-11-06,Dominican Republic,N,DOP,2021-11-06T00:00:00Z,2025-08-14T00:00:00Z,Active
US25714PEW41,DRGB 11.25% 2035-09-15 DOP,11.25% BD REDEEM 15/09/2035 DOP 8000000 - 144A,108.611,9.878922,9.643108,11.25,Government,2035-09-15,Dominican Republic,Y,DOP,2023-09-15T00:00:00Z,2025-08-14T00:00:00Z,Active
USP3579ECS48,DRGB 11.25% 2035-09-15 DOP,11.25% BD REDEEM 15/09/2035 DOP 8000000 - Reg S,108.611,9.878922,9.643108,11.25,Government,2035-09-15,Dominican Republic,Y,DOP,2023-09-15T00:00:00Z,2025-08-14T00:00:00Z,Active
US25714PER55,DRGB 13.00% 2025-12-05 DOP,13% BD REDEEM 05/12/2025 DOP 1000,100.267,11.932985,11.566558,13.0,Government,2025-12-05,Dominican Republic,N,DOP,2023-01-06T00:00:00Z,2025-08-14T00:00:00Z,Active
XS2574077058,DRGB 13.00% 2025-12-05 DOP,13% BD REDEEM 05/12/2025 DOP 1000 - Reg S,100.267,11.932985,11.566558,13.0,Government,2025-12-05,Dominican Republic,,DOP,2023-01-06T00:00:00Z,2025-08-14T00:00:00Z,Active
DO1005205419,DRGB 11.00% 2026-12-04 DOP,11% BD REDEEM 04/12/2026 DOP 100000,101.769,9.499663,9.281342,11.0,Government,2026-12-04,Dominican Republic,,DOP,2016-06-04T00:00:00Z,2025-08-14T00:00:00Z,Active
DO1005207027,DRGB 10.75% 2029-11-08 DOP,10.75% BD REDEEM 08/11/2029 DOP 100000,103.449,9.726919,9.494838,10.75,Government,2029-11-08,Dominican Republic,N,DOP,2019-11-08T00:00:00Z,2025-08-14T00:00:00Z,Active
US25714WBH51,DRGB 10.75% 2029-11-08 DOP,10.75% BD REDEEM 08/11/2029 USD - 144A,103.447,9.727436,9.495331,10.75,Government,2029-11-08,Dominican Republic,,DOP,2019-11-08T00:00:00Z,2025-08-14T00:00:00Z,Active
XS2079033028,DRGB 10.75% 2029-11-08 DOP,10.75% BD REDEEM 08/11/2029 DOP 100000 - Reg S,103.447,9.727436,9.495331,10.75,Government,2029-11-08,Dominican Republic,,DOP,2019-11-08T00:00:00Z,2025-08-14T00:00:00Z,Active
DO1005206011,DRGB 12.00% 2032-03-05 DOP,12% BD REDEEM 05/03/2032 DOP 100000,110.046,9.879113,9.647327,12.0,Government,2032-03-05,Dominican Republic,N,DOP,2017-03-05T00:00:00Z,2025-08-14T00:00:00Z,Active
US25714PEU84,DRGB 13.00% 2026-01-30 USD,13% NT REDEEM 30/01/2026 USD - 144A,99.923,13.140284,12.631272,13.0,Government,2026-01-30,Dominican Republic,N,USD,2023-01-30T00:00:00Z,2025-08-14T00:00:00Z,Active
XS2584621499,DRGB 13.00% 2026-01-30 DOP,13% BD REDEEM 30/01/2026 DOP 1000000 - Reg S,99.923,13.140284,12.631272,13.0,Government,2026-01-30,Dominican Republic,,DOP,2023-02-03T00:00:00Z,2025-08-14T00:00:00Z,Active
DO1005210922,DRGB 13.00% 2034-06-09 DOP,13% BD REDEEM 09/06/2034 DOP 100000,117.374,9.986741,9.746078,13.0,Government,2034-06-09,Dominican Republic,,DOP,2022-06-10T00:00:00Z,2025-08-14T00:00:00Z,Active
XS2490821126,DRGB 13.00% 2034-06-09 DOP,13% BD REDEEM 09/06/2034 DOP 1000 - Reg S,117.371,9.987262,9.746574,13.0,Government,2034-06-09,Dominican Republic,,DOP,2022-06-10T00:00:00Z,2025-08-14T00:00:00Z,Active
DO1005206722,DRGB 11.50% 2034-01-11 DOP,11.50% BD REDEEM 11/01/2034 DOP 100000,108.572,9.96637,9.722748,11.5,Government,2034-01-11,Dominican Republic,N,DOP,2019-01-11T00:00:00Z,2025-08-14T00:00:00Z,Active
US25714WBG78,DRGB 11.50% 2034-01-11 USD,11.50% BD REDEEM 11/01/2034 USD - 144A,108.572,9.96637,9.722748,11.5,Government,2034-01-11,Dominican Republic,,USD,2019-01-11T00:00:00Z,2025-08-14T00:00:00Z,Active
US25714PES39,DRGB 13.63% 2033-02-03 DOP,13.625% BD REDEEM 03/02/2033 DOP 8000000 - 144A,119.202,9.921709,9.677115,13.625,Government,2033-02-03,Dominican Republic,Y,DOP,2023-02-03T00:00:00Z,2025-08-14T00:00:00Z,Active
