ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
USP5015VAM83,GUATEM 3.70% 2033-10-07 USD,3.70% NT REDEEM 07/10/2033 USD 200000 - Reg S,85.979,5.885582,5.800469,3.7,Government,2033-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AT67,GUATEM 3.70% 2033-10-07 USD,3.70% NT REDEEM 07/10/2033 USD 200000 - 144A,85.979,5.885582,5.800469,3.7,Government,2033-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-08-06T00:00:00Z,Active
USP5015VAJ54,GUATEM 6.13% 2050-06-01 USD,6.125% NT REDEEM 01/06/2050 USD 200000 - Reg S,91.796,6.826127,6.71209,6.125,Government,2050-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AR02,GUATEM 6.13% 2050-06-01 USD,6.125% NT REDEEM 01/06/2050 USD 200000 - 144A,91.796,6.826127,6.71209,6.125,Government,2050-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-08-06T00:00:00Z,Active
USP5015VAS53,GUATEM 6.55% 2037-02-06 USD,6.55% BD REDEEM 06/02/2037 USD 1000,102.39,6.255382,6.15722,6.55,Government,2037-02-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AZ28,GUATEM 6.55% 2037-02-06 USD,6.55% BD REDEEM 06/02/2037 USD 1000 - 144A,102.39,6.255382,6.15722,6.55,Government,2037-02-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-08-06T00:00:00Z,Active
USP5015VAN66,GUATEM 4.65% 2041-10-07 USD,4.65% NT REDEEM 07/10/2041 USD 200000 - Reg S,80.399,6.645348,6.537312,4.65,Government,2041-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AU31,GUATEM 4.65% 2041-10-07 USD,4.65% NT REDEEM 07/10/2041 USD 200000 - 144A,80.399,6.645348,6.537312,4.65,Government,2041-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-08-06T00:00:00Z,Active
USP5015VAK28,GUATEM 5.38% 2032-04-24 USD,5.375% NT REDEEM 24/04/2032 USD 200000 - Reg S,98.498,5.645092,5.567673,5.375,Government,2032-04-24,Guatemala,Y,USD,2020-04-24T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AS84,GUATEM 5.38% 2032-04-24 USD,5.375% NT REDEEM 24/04/2032 USD 200000 - 144A,98.498,5.645092,5.567673,5.375,Government,2032-04-24,Guatemala,Y,USD,2020-04-24T00:00:00Z,2025-08-06T00:00:00Z,Active
USP5015VAG16,GUATEM 4.38% 2027-06-05 USD,4.375% NT REDEEM 05/06/2027 USD 200000 - Reg S,98.659,5.148181,5.087452,4.375,Government,2027-06-05,Guatemala,N,USD,2017-06-05T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AP46,GUATEM 4.38% 2027-06-05 USD,4.375% NT REDEEM 05/06/2027 USD 200000 - Reg 144A,98.659,5.148181,5.087452,4.375,Government,2027-06-05,Guatemala,N,USD,2017-06-05T00:00:00Z,2025-08-06T00:00:00Z,Active
USP5015VAT37,GUATEM 6.05% 2031-08-06 USD,6.05% BD REDEEM 06/08/2031 USD 1000,102.421,5.569731,5.494037,6.05,Government,2031-08-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AY52,GUATEM 6.05% 2031-08-06 USD,6.05% BD REDEEM 06/08/2031 USD - 144A,102.421,5.569731,5.494037,6.05,Government,2031-08-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-08-06T00:00:00Z,Active
USP5015VAE67,GUATEM 4.88% 2028-02-13 USD,4.875% NT REDEEM 13/02/2028 USD 200000 - Reg S,99.155,5.236666,5.164872,4.875,Government,2028-02-13,Guatemala,N,USD,2013-02-13T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AF63,GUATEM 4.88% 2028-02-13 USD,4.875% NT REDEEM 13/02/2028 USD 200000 - 144A,99.155,5.236666,5.164872,4.875,Government,2028-02-13,Guatemala,N,USD,2013-02-13T00:00:00Z,2025-08-06T00:00:00Z,Active
USP5015VAH98,GUATEM 4.90% 2030-06-01 USD,4.90% NT REDEEM 01/06/2030 USD 200000 - Reg S,98.527,5.330924,5.261162,4.9,Government,2030-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AQ29,GUATEM 4.90% 2030-06-01 USD,4.90% NT REDEEM 01/06/2030 USD 200000 - 144A,98.527,5.330924,5.261162,4.9,Government,2030-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494BB41,GUATEM 6.88% 2055-08-15 USD,6.875% NT REDEEM 15/08/2055 USD - 144A,99.851,6.88544,6.769004,6.875,Government,2055-08-15,Guatemala,Y,USD,2025-07-15T00:00:00Z,2025-08-06T00:00:00Z,Active
USP5015VAV82,GUATEM 6.88% 2055-08-15 USD,6.875% NT REDEEM 15/08/2055 USD 1000 - Reg S,99.851,6.88544,6.769004,6.875,Government,2055-08-15,Guatemala,Y,USD,2025-07-15T00:00:00Z,2025-08-06T00:00:00Z,Active
USP5015VAF33,GUATEM 4.50% 2026-05-03 USD,4.50% NT REDEEM 03/05/2026 USD 200000 - Reg S,99.24,5.549477,5.491418,4.5,Government,2026-05-03,Guatemala,N,USD,2016-05-03T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AN97,GUATEM 4.50% 2026-05-03 USD,4.50% BD REDEEM 03/05/2026 USD 200000 - 144A,99.24,5.549477,5.491418,4.5,Government,2026-05-03,Guatemala,N,USD,2016-05-03T00:00:00Z,2025-08-06T00:00:00Z,Active
USP5015VAR70,GUATEM 7.05% 2032-10-04 USD,7.05% BD REDEEM 04/10/2032 USD 1000,107.579,5.742319,5.660813,7.05,Government,2032-10-04,Guatemala,,USD,2023-10-04T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AX79,GUATEM 7.05% 2032-10-04 USD,7.05% BD REDEEM 04/10/2032 USD 200000,107.579,5.742319,5.660813,7.05,Government,2032-10-04,Guatemala,Y,USD,2023-10-04T00:00:00Z,2025-08-06T00:00:00Z,Active
USP5015VAQ97,GUATEM 6.60% 2036-06-13 USD,6.60% BD REDEEM 13/06/2036 USD 1000 - Reg S,103.165,6.14833,6.056328,6.6,Government,2036-06-13,Guatemala,Y,USD,2023-06-13T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AW96,GUATEM 6.60% 2036-06-13 USD,6.60% BD REDEEM 13/06/2036 USD 200000 - 144A,103.165,6.14833,6.056328,6.6,Government,2036-06-13,Guatemala,Y,USD,2023-06-13T00:00:00Z,2025-08-06T00:00:00Z,Active
USP5015VAP15,GUATEM 5.25% 2029-08-10 USD,5.25% BD REDEEM 10/08/2029 USD 200000 - Reg S,99.682,5.338781,5.268477,5.25,Government,2029-08-10,Guatemala,Y,USD,2022-08-10T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AV14,GUATEM 5.25% 2029-08-10 USD,5.25% BD REDEEM 10/08/2029 USD 200000 - 144A,99.682,5.338781,5.268477,5.25,Government,2029-08-10,Guatemala,Y,USD,2022-08-10T00:00:00Z,2025-08-06T00:00:00Z,Active
USP8056GAB97,GUATEM 8.13% 2034-10-06 USD,8.125% NT REDEEM 06/10/2034 USD 10000 - Reg S,111.863,6.392758,6.292994,8.125,Government,2034-10-06,Guatemala,N,USD,2004-10-06T00:00:00Z,2025-08-06T00:00:00Z,Active
US401494AD16,GUATEM 8.13% 2034-10-06 USD,8.125% NT REDEEM 06/10/2034 USD 10000 - 144A,111.863,6.392758,6.292994,8.125,Government,2034-10-06,Guatemala,N,USD,2004-10-06T00:00:00Z,2025-08-06T00:00:00Z,Active
