ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
US401494BB41,GUATEM 6.88% 2055-08-15 USD,6.875% NT REDEEM 15/08/2055 USD - 144A,103.458,6.60668,6.500037,6.875,Government,2055-08-15,Guatemala,Y,USD,2025-07-15T00:00:00Z,2025-09-11T00:00:00Z,Active
USP5015VAV82,GUATEM 6.88% 2055-08-15 USD,6.875% NT REDEEM 15/08/2055 USD 1000 - Reg S,103.458,6.60668,6.500037,6.875,Government,2055-08-15,Guatemala,Y,USD,2025-07-15T00:00:00Z,2025-09-11T00:00:00Z,Active
USP5015VAN66,GUATEM 4.65% 2041-10-07 USD,4.65% NT REDEEM 07/10/2041 USD 200000 - Reg S,84.816,6.150278,6.058336,4.65,Government,2041-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-09-11T00:00:00Z,Active
US401494AU31,GUATEM 4.65% 2041-10-07 USD,4.65% NT REDEEM 07/10/2041 USD 200000 - 144A,84.816,6.150278,6.058336,4.65,Government,2041-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-09-11T00:00:00Z,Active
USP5015VAJ54,GUATEM 6.13% 2050-06-01 USD,6.125% NT REDEEM 01/06/2050 USD 200000 - Reg S,95.999,6.455941,6.354498,6.125,Government,2050-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-09-11T00:00:00Z,Active
US401494AR02,GUATEM 6.13% 2050-06-01 USD,6.125% NT REDEEM 01/06/2050 USD 200000 - 144A,95.999,6.455941,6.354498,6.125,Government,2050-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-09-11T00:00:00Z,Active
USP5015VAS53,GUATEM 6.55% 2037-02-06 USD,6.55% BD REDEEM 06/02/2037 USD 1000,106.623,5.74925,5.666919,6.55,Government,2037-02-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-09-11T00:00:00Z,Active
US401494AZ28,GUATEM 6.55% 2037-02-06 USD,6.55% BD REDEEM 06/02/2037 USD 1000 - 144A,106.623,5.74925,5.666919,6.55,Government,2037-02-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-09-11T00:00:00Z,Active
USP5015VAM83,GUATEM 3.70% 2033-10-07 USD,3.70% NT REDEEM 07/10/2033 USD 200000 - Reg S,89.299,5.349315,5.279896,3.7,Government,2033-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-09-11T00:00:00Z,Active
US401494AT67,GUATEM 3.70% 2033-10-07 USD,3.70% NT REDEEM 07/10/2033 USD 200000 - 144A,89.299,5.349315,5.279896,3.7,Government,2033-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-09-11T00:00:00Z,Active
