ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
US698299BL70,PANAMA 3.87% 2060-07-23 USD,3.87% BD REDEEM 23/07/2060 USD 200000,57.251,7.266147,7.136552,3.87,Government,2060-07-23,Panama,Y,USD,2019-07-23T00:00:00Z,2025-07-10T00:00:00Z,Active
PAL634445XA3,PANAMA 3.36% 2031-06-30 USD,3.362% BD REDEEM 30/06/2031 USD 1000,82.991,6.883097,6.768025,3.362,Government,2031-06-30,Panama,N,USD,2021-06-30T00:00:00Z,2025-07-10T00:00:00Z,Active
USP90603AP97,PANAMA 3.36% 2031-06-30 USD,3.362% BD REDEEM 30/06/2031 USD - Reg S,82.994,6.882453,6.767403,3.362,Government,2031-06-30,Panama,N,USD,2021-06-30T00:00:00Z,2025-07-10T00:00:00Z,Active
US698299BQ67,PANAMA 3.36% 2031-06-30 USD,3.362% BD REDEEM 30/06/2031 USD - 144A,82.994,6.882453,6.767403,3.362,Government,2031-06-30,Panama,N,USD,2021-06-30T00:00:00Z,2025-07-10T00:00:00Z,Active
US698299BG85,PANAMA 4.50% 2047-05-15 USD,4.50% BD REDEEM 15/05/2047 USD 200000,69.482,7.393937,7.260199,4.5,Government,2047-05-15,Panama,Y,USD,2017-05-15T00:00:00Z,2025-07-10T00:00:00Z,Active
US698299BS24,PANAMA 4.50% 2063-01-19 USD,4.50% BD REDEEM 19/01/2063 USD 200000,64.323,7.304082,7.173043,4.5,Government,2063-01-19,Panama,Y,USD,2022-01-19T00:00:00Z,2025-07-10T00:00:00Z,Active
US698299BV52,PANAMA 6.85% 2054-03-28 USD,6.853% BD REDEEM 28/03/2054 USD 200000,91.722,7.561928,7.422404,6.853,Government,2054-03-28,Panama,Y,USD,2023-03-28T00:00:00Z,2025-07-10T00:00:00Z,Active
US698299AW45,PANAMA 6.70% 2036-01-26 USD,6.70% BD REDEEM 26/01/2036 USD 1000,99.806,6.727251,6.614847,6.7,Government,2036-01-26,Panama,N,USD,2006-01-26T00:00:00Z,2025-07-10T00:00:00Z,Active
US698299BH68,PANAMA 4.50% 2050-04-16 USD,4.50% BD REDEEM 16/04/2050 USD 200000,67.704,7.409278,7.274754,4.5,Government,2050-04-16,Panama,Y,USD,2018-04-16T00:00:00Z,2025-07-10T00:00:00Z,Active
US698299BY91,PANAMA 8.00% 2038-03-01 USD,8% BD REDEEM 01/03/2038 USD 200000,107.5,7.016486,6.89488,8.0,Government,2038-03-01,Panama,Y,USD,2024-02-29T00:00:00Z,2025-07-10T00:00:00Z,Active
