ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
CRG0000B28I4,CRTP 11.25% 2030-06-19 CRC,11.25% BD REDEEM 19/06/2030 CRC 50000,117.736,6.119995,6.026982,11.25,Government,2030-06-19,Costa Rica,,CRC,2018-08-01T00:00:00Z,2025-07-16T00:00:00Z,Active
CRG0000B57I3,CRTP 12.00% 2030-02-27 CRC,12% BD REDEEM 27/02/2030 CRC 50000,116.701,5.997373,5.902619,12.0,Government,2030-02-27,Costa Rica,,CRC,2019-07-01T00:00:00Z,2025-07-16T00:00:00Z,Active
US221604BG52,CRTP 6.67% 2030-11-22 USD,6.67% NT REDEEM 22/11/2030 USD - 144A,107.003,5.153674,5.08597,6.67,Government,2030-11-22,Costa Rica,N,USD,2016-08-17T00:00:00Z,2025-07-16T00:00:00Z,Active
CRG0000B60I7,CRTP 11.60% 2027-02-24 CRC,11.60% BD REDEEM 24/02/2027 CRC 50000,107.398,4.993434,4.9184,11.6,Government,2027-02-24,Costa Rica,,CRC,2019-02-24T00:00:00Z,2025-07-16T00:00:00Z,Active
CRG0000B05J0,CRTP 4.25% 2027-08-25 CRC,4.25% BD REDEEM 25/08/2027 CRC,97.888,5.321339,5.251438,4.25,Government,2027-08-25,Costa Rica,,CRC,2021-08-25T00:00:00Z,2025-07-16T00:00:00Z,Active
XS1968712338,CRTP 9.20% 2029-02-21 USD,9.20% BD REDEEM 21/02/2029 USD 1000 - REG S,111.999,5.476553,5.394125,9.2,Government,2029-02-21,Costa Rica,,USD,2019-02-21T00:00:00Z,2025-07-16T00:00:00Z,Active
US221597CL95,CRTP 9.20% 2029-02-21 USD,9.20% NT REDEEM 21/02/2029 USD - 144A,111.999,5.476553,5.394125,9.2,Government,2029-02-21,Costa Rica,N,USD,2019-03-21T00:00:00Z,2025-07-16T00:00:00Z,Active
CRG0000B45I8,CRTP 10.00% 2029-02-21 USD,10% BD REDEEM 21/02/2029 USD 1000,112.001,5.476159,5.393743,10.0,Government,2029-02-21,Costa Rica,,USD,2019-03-20T00:00:00Z,2025-07-16T00:00:00Z,Active
CRG0000B33J2,CRTP 7.20% 2033-11-23 USD,7.20% BD REDEEM 23/11/2033 USD 1000,104.205,5.484375,5.408534,7.2,Government,2033-11-23,Costa Rica,,USD,2023-05-23T00:00:00Z,2025-07-16T00:00:00Z,Active
USP3699PGM34,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg S,103.837,5.88709,5.800057,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-07-16T00:00:00Z,Active
US221597CR65,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg 144A,103.837,5.88709,5.800057,6.55,Government,2034-04-03,Costa Rica,,USD,2023-04-03T00:00:00Z,2025-07-16T00:00:00Z,Active
CRG0000B20J9,CRTP 9.00% 2034-05-24 USD,9% BD REDEEM 24/05/2034 USD 1000,125.375,4.189576,4.146417,9.0,Government,2034-05-24,Costa Rica,,USD,2022-05-24T00:00:00Z,2025-07-16T00:00:00Z,Active
