ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status
US438180AJ03,HONDUR 5.63% 2030-06-24 USD,5.625% NT REDEEM 24/06/2030 USD 150000 - 144A,98.308,6.043918,5.956021,5.625,Government,2030-06-24,Honduras,Y,USD,2020-06-24T00:00:00,2025-10-23T00:00:00,Active
USP5178RAC27,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - Reg S,100.491,5.824366,5.734961,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00,2025-10-23T00:00:00,Active
US438180AH47,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - 144A,100.491,5.824366,5.734961,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00,2025-10-23T00:00:00,Active
