ISIN,Name,Description,Clean Price,Yield (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date
US438180AJ03,HONDUR 5.63% 2030-06-24 USD,5.625% NT REDEEM 24/06/2030 USD 150000 - 144A,90.006,8.027541,5.625,Government,2030-06-24,Honduras,Y,USD,2020-06-24T00:00:00,2025-04-28T00:00:00
USP5178RAC27,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - Reg S,98.747,7.025667,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00,2025-04-28T00:00:00
US438180AH47,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - 144A,98.747,7.025667,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00,2025-04-28T00:00:00
USP5178RAD00,HONDUR 5.63% 2030-06-24 USD,5.625% NT REDEEM 24/06/2030 USD 150000 - Reg S,90.006,8.027541,5.625,Government,2030-06-24,Honduras,Y,USD,2020-06-24T00:00:00,2025-04-28T00:00:00
USP5178RAC27,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - Reg S,98.747,7.025667,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00,2025-04-28T00:00:00
US438180AH47,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - 144A,98.747,7.025667,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00,2025-04-28T00:00:00
