ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date,Regulation
CRG0000B45I8,CRTP 10.00% 2029-02-21 USD,10% BD REDEEM 21/02/2029 USD 1000,112.523,5.999192,5.904338,10,Government,2029-02-21,Costa Rica,NA,USD,2019-03-20T00:00:00Z,2025-08-14T00:00:00Z,Active,2025-09-25,3.406,Unspecified
XS1968712338,CRTP 9.20% 2029-02-21 USD,9.20% BD REDEEM 21/02/2029 USD 1000 - REG S,112.52,5.256197,5.182459,9.2,Government,2029-02-21,Costa Rica,NA,USD,2019-02-21T00:00:00Z,2025-08-14T00:00:00Z,Active,2025-09-25,3.406,Unspecified
US221597CL95,CRTP 9.20% 2029-02-21 USD,9.20% NT REDEEM 21/02/2029 USD - 144A,112.52,5.256197,5.182459,9.2,Government,2029-02-21,Costa Rica,N,USD,2019-03-21T00:00:00Z,2025-08-14T00:00:00Z,Active,2025-09-25,3.406,144A
USP3699PGM34,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg S,105.325,5.631447,5.553206,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-08-14T00:00:00Z,Active,2025-09-25,8.522,Reg S
US221597CR65,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg 144A,105.325,5.631447,5.553206,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-08-14T00:00:00Z,Active,2025-09-25,8.522,144A
USP3699PGH49,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - Reg S,103.619,6.657117,6.548583,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-08-14T00:00:00Z,Active,2025-09-25,18.525,Reg S
US221602AC91,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - 144A,103.619,6.657117,6.548583,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-08-14T00:00:00Z,Active,2025-09-25,18.525,144A
USP3699PGK77,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - Reg S,103.525,5.234794,5.163363,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-08-14T00:00:00Z,Active,2025-09-25,5.4,Reg S
US221597CP00,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - 144A,103.525,5.234794,5.163363,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-08-14T00:00:00Z,Active,2025-09-25,5.4,144A
US221604BG52,CRTP 6.67% 2030-11-22 USD,6.67% NT REDEEM 22/11/2030 USD - 144A,108.024,4.921358,4.86118,6.67,Government,2030-11-22,Costa Rica,N,USD,2016-08-17T00:00:00Z,2025-08-14T00:00:00Z,Active,2025-09-25,5.158,144A
