ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date
US221604BG52,CRTP 6.67% 2030-11-22 USD,6.67% NT REDEEM 22/11/2030 USD - 144A,107.178,5.140752,5.0749,6.67,Government,2030-11-22,Costa Rica,N,USD,2016-08-17T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,5.442
CRG0000B45I8,CRTP 10.00% 2029-02-21 USD,10% BD REDEEM 21/02/2029 USD 1000,112.107,5.525257,5.444039,10,Government,2029-02-21,Costa Rica,NA,USD,2019-03-20T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,3.689
XS1968712338,CRTP 9.20% 2029-02-21 USD,9.20% BD REDEEM 21/02/2029 USD 1000 - REG S,112.105,5.525693,5.444463,9.2,Government,2029-02-21,Costa Rica,NA,USD,2019-02-21T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,3.689
US221597CL95,CRTP 9.20% 2029-02-21 USD,9.20% NT REDEEM 21/02/2029 USD - 144A,112.105,5.525693,5.444463,9.2,Government,2029-02-21,Costa Rica,N,USD,2019-03-21T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,3.689
USP3699PGH49,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - Reg S,101.771,6.830021,6.71568,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,18.808
US221602AC91,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - 144A,101.771,6.830021,6.71568,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,18.808
USP3699PGJ05,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - Reg S,102.92,6.883963,6.768452,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,19.747
US221597BV86,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - 144A,102.92,6.883963,6.768452,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,19.747
USP3699PGF82,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - Reg S,88.993,6.688637,6.57995,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,17.881
US221597BT31,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - 144A,88.993,6.688637,6.57995,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,17.881
USP3699PGM34,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg S,102.891,6.052401,5.961927,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,8.806
US221597CR65,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg 144A,102.891,6.052401,5.961927,6.55,Government,2034-04-03,Costa Rica,NA,USD,2023-04-03T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,8.806
CRG0000B20J9,CRTP 9.00% 2034-05-24 USD,9% BD REDEEM 24/05/2034 USD 1000,125.589,4.191227,4.148848,9,Government,2034-05-24,Costa Rica,NA,USD,2022-05-24T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,8.947
USP3699PGK77,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - Reg S,102.643,5.473476,5.395464,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,5.683
US221597CP00,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - 144A,102.643,5.473476,5.395464,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,5.683
CRG0000B33J2,CRTP 7.20% 2033-11-23 USD,7.20% BD REDEEM 23/11/2033 USD 1000,104.157,5.497675,5.422592,7.2,Government,2033-11-23,Costa Rica,NA,USD,2023-05-23T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,8.444
USP3699PGN17,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 200000 - Reg S,102.012,7.132201,7.007817,7.3,Government,2054-11-13,Costa Rica,Y,USD,2023-11-13T00:00:00Z,2025-06-09T00:00:00Z,Active,2025-06-13,29.417
US221597CV77,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 1000 - 144A,102.012,7.132201,7.007817,7.3,Government,2054-11-13,Costa Rica,NA,USD,2023-11-13T00:00:00Z,2025-06-09T00:00:00Z,Active,2025-06-13,29.417
USP01012AM84,ELSALV 7.63% 2034-09-21 USD,7.625% NT REDEEM 21/09/2034 USD 10000 - Reg S,97.927,7.942288,7.788382,7.625,Government,2034-09-21,El Salvador,N,USD,2004-09-21T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,9.272
US283875AN23,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - 144A,96.459,8.17471,8.012685,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,10.006
USP01012AN67,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - Reg S,96.459,8.17471,8.012685,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,10.006
US283875CB66,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - 144A,101.993,9.295836,9.086,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,27.089
USP01012CC84,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - Reg S,101.993,9.295836,9.086,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,27.089
US283875AQ53,ELSALV 7.63% 2041-02-01 USD,7.625% NT REDEEM 01/02/2041 USD 150000 - 144A,91.9,8.573241,8.391452,7.625,Government,2041-02-01,El Salvador,N,USD,2011-02-01T00:00:00Z,2025-06-12T00:00:00Z,Active,2025-06-13,15.633
