ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date,Regulation
USP3699PGM34,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg S,103.408,5.963088,5.874663,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,8.75,Reg S
US221597CR65,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg 144A,103.408,5.963088,5.874663,6.55,Government,2034-04-03,Costa Rica,NA,USD,2023-04-03T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,8.75,144A
USP3699PGF82,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - Reg S,89.054,6.683339,6.574491,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,17.825,Reg S
US221597BT31,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - 144A,89.054,6.683339,6.574491,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,17.825,144A
USP3699PGJ05,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - Reg S,102.939,6.881965,6.76617,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,19.692,Reg S
US221597BV86,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - 144A,102.939,6.881965,6.76617,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,19.692,144A
USP3699PGH49,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - Reg S,101.563,6.849407,6.734069,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,18.753,Reg S
US221602AC91,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - 144A,101.563,6.849407,6.734069,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,18.753,144A
XS1968712338,CRTP 9.20% 2029-02-21 USD,9.20% BD REDEEM 21/02/2029 USD 1000 - REG S,112.075,5.501724,5.42012,9.2,Government,2029-02-21,Costa Rica,NA,USD,2019-02-21T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,3.633,Unspecified
US221597CL95,CRTP 9.20% 2029-02-21 USD,9.20% NT REDEEM 21/02/2029 USD - 144A,112.075,5.501724,5.42012,9.2,Government,2029-02-21,Costa Rica,N,USD,2019-03-21T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,3.633,144A
CRG0000B45I8,CRTP 10.00% 2029-02-21 USD,10% BD REDEEM 21/02/2029 USD 1000,112.077,5.501361,5.419767,10,Government,2029-02-21,Costa Rica,NA,USD,2019-03-20T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,3.633,Unspecified
US221604BG52,CRTP 6.67% 2030-11-22 USD,6.67% NT REDEEM 22/11/2030 USD - 144A,107.146,5.137823,5.071426,6.67,Government,2030-11-22,Costa Rica,N,USD,2016-08-17T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,5.386,144A
USP3699PGK77,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - Reg S,102.317,5.548357,5.467475,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,5.628,Reg S
US221597CP00,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - 144A,102.317,5.548357,5.467475,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,5.628,144A
CRG0000B33J2,CRTP 7.20% 2033-11-23 USD,7.20% BD REDEEM 23/11/2033 USD 1000,103.649,5.569696,5.492201,7.2,Government,2033-11-23,Costa Rica,NA,USD,2023-05-23T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,8.389,Unspecified
CRG0000B20J9,CRTP 9.00% 2034-05-24 USD,9% BD REDEEM 24/05/2034 USD 1000,124.803,4.273107,4.22871,9,Government,2034-05-24,Costa Rica,NA,USD,2022-05-24T00:00:00Z,2025-06-26T00:00:00Z,Active,2025-06-27,8.892,Unspecified
USP3699PGN17,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 200000 - Reg S,102.478,7.094208,6.971039,7.3,Government,2054-11-13,Costa Rica,Y,USD,2023-11-13T00:00:00Z,2025-06-13T00:00:00Z,Active,2025-06-27,29.361,Reg S
US221597CV77,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 1000 - 144A,102.478,7.094208,6.971039,7.3,Government,2054-11-13,Costa Rica,NA,USD,2023-11-13T00:00:00Z,2025-06-13T00:00:00Z,Active,2025-06-27,29.361,144A
