ISIN,Name,Description,Clean Price,Yield (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date
US401494AW96,GUATEM 6.60% 2036-06-13 USD,6.60% BD REDEEM 13/06/2036 USD 200000 - 144A,99.822,6.624435,6.6,Government,2036-06-13,Guatemala,Y,USD,2023-06-13T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,11.058
USP5015VAR70,GUATEM 7.05% 2032-10-04 USD,7.05% BD REDEEM 04/10/2032 USD 1000,104.749,6.236213,7.05,Government,2032-10-04,Guatemala,NA,USD,2023-10-04T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,7.367
US401494AX79,GUATEM 7.05% 2032-10-04 USD,7.05% BD REDEEM 04/10/2032 USD 200000,104.749,6.236213,7.05,Government,2032-10-04,Guatemala,Y,USD,2023-10-04T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,7.367
USP5015VAS53,GUATEM 6.55% 2037-02-06 USD,6.55% BD REDEEM 06/02/2037 USD 1000,99.567,6.601941,6.55,Government,2037-02-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,11.706
US401494AZ28,GUATEM 6.55% 2037-02-06 USD,6.55% BD REDEEM 06/02/2037 USD 1000 - 144A,99.567,6.601941,6.55,Government,2037-02-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,11.706
USP5015VAT37,GUATEM 6.05% 2031-08-06 USD,6.05% BD REDEEM 06/08/2031 USD 1000,99.535,6.138757,6.05,Government,2031-08-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,6.206
US401494AY52,GUATEM 6.05% 2031-08-06 USD,6.05% BD REDEEM 06/08/2031 USD - 144A,99.535,6.138757,6.05,Government,2031-08-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,6.206
USP8056GAB97,GUATEM 8.13% 2034-10-06 USD,8.125% NT REDEEM 06/10/2034 USD 10000 - Reg S,110.024,6.669871,8.125,Government,2034-10-06,Guatemala,N,USD,2004-10-06T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,9.372
US401494AD16,GUATEM 8.13% 2034-10-06 USD,8.125% NT REDEEM 06/10/2034 USD 10000 - 144A,110.024,6.669871,8.125,Government,2034-10-06,Guatemala,N,USD,2004-10-06T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,9.372
USP5015VAK28,GUATEM 5.38% 2032-04-24 USD,5.375% NT REDEEM 24/04/2032 USD 200000 - Reg S,96.058,6.078734,5.375,Government,2032-04-24,Guatemala,Y,USD,2020-04-24T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,6.922
US401494AS84,GUATEM 5.38% 2032-04-24 USD,5.375% NT REDEEM 24/04/2032 USD 200000 - 144A,96.058,6.078734,5.375,Government,2032-04-24,Guatemala,Y,USD,2020-04-24T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,6.922
USP5015VAJ54,GUATEM 6.13% 2050-06-01 USD,6.125% NT REDEEM 01/06/2050 USD 200000 - Reg S,87.968,7.183206,6.125,Government,2050-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,25.025
US401494AR02,GUATEM 6.13% 2050-06-01 USD,6.125% NT REDEEM 01/06/2050 USD 200000 - 144A,87.968,7.183206,6.125,Government,2050-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,25.025
USP5015VAM83,GUATEM 3.70% 2033-10-07 USD,3.70% NT REDEEM 07/10/2033 USD 200000 - Reg S,83.023,6.338308,3.7,Government,2033-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,8.375
US401494AT67,GUATEM 3.70% 2033-10-07 USD,3.70% NT REDEEM 07/10/2033 USD 200000 - 144A,83.023,6.338308,3.7,Government,2033-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,8.375
USP5015VAN66,GUATEM 4.65% 2041-10-07 USD,4.65% NT REDEEM 07/10/2041 USD 200000 - Reg S,77.392,6.987287,4.65,Government,2041-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,16.375
US401494AU31,GUATEM 4.65% 2041-10-07 USD,4.65% NT REDEEM 07/10/2041 USD 200000 - 144A,77.392,6.987287,4.65,Government,2041-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,16.375
US438180AJ03,HONDUR 5.63% 2030-06-24 USD,5.625% NT REDEEM 24/06/2030 USD 150000 - 144A,91.902,7.563456,5.625,Government,2030-06-24,Honduras,Y,USD,2020-06-24T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,5.089
USP5178RAC27,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - Reg S,98.884,6.958212,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,1.658
US438180AH47,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - 144A,98.884,6.958212,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,1.658
USP5178RAD00,HONDUR 5.63% 2030-06-24 USD,5.625% NT REDEEM 24/06/2030 USD 150000 - Reg S,91.902,7.563456,5.625,Government,2030-06-24,Honduras,Y,USD,2020-06-24T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,5.089
USP5178RAC27,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - Reg S,98.884,6.958212,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,1.658
US438180AH47,HONDUR 6.25% 2027-01-19 USD,6.25% NT REDEEM 19/01/2027 USD 150000 - 144A,98.884,6.958212,6.25,Government,2027-01-19,Honduras,N,USD,2017-01-19T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,1.658
US698299BB98,PANAMA 4.30% 2053-04-29 USD,4.30% BD REDEEM 29/04/2053 USD 200000,60.516,7.842654,4.3,Government,2053-04-29,Panama,Y,USD,2013-04-29T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,27.936
US698299BL70,PANAMA 3.87% 2060-07-23 USD,3.87% BD REDEEM 23/07/2060 USD 200000,53.278,7.785011,3.87,Government,2060-07-23,Panama,Y,USD,2019-07-23T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,35.169
US698299BS24,PANAMA 4.50% 2063-01-19 USD,4.50% BD REDEEM 19/01/2063 USD 200000,59.816,7.844935,4.5,Government,2063-01-19,Panama,Y,USD,2022-01-19T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,37.658
US698299BH68,PANAMA 4.50% 2050-04-16 USD,4.50% BD REDEEM 16/04/2050 USD 200000,63.291,7.955754,4.5,Government,2050-04-16,Panama,Y,USD,2018-04-16T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,24.9
US698299BM53,PANAMA 4.50% 2056-04-01 USD,4.50% BD REDEEM 01/04/2056 USD 200000,60.509,7.984352,4.5,Government,2056-04-01,Panama,Y,USD,2020-04-01T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,30.858
US698299BG85,PANAMA 4.50% 2047-05-15 USD,4.50% BD REDEEM 15/05/2047 USD 200000,65.203,7.931115,4.5,Government,2047-05-15,Panama,Y,USD,2017-05-15T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,21.981
US698299BV52,PANAMA 6.85% 2054-03-28 USD,6.853% BD REDEEM 28/03/2054 USD 200000,86.22,8.092612,6.853,Government,2054-03-28,Panama,Y,USD,2023-03-28T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,28.85
US698299BT07,PANAMA 6.40% 2035-02-14 USD,6.40% BD REDEEM 14/02/2035 USD 200000,94.223,7.23424,6.4,Government,2035-02-14,Panama,Y,USD,2022-11-21T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,9.728
US698299BZ66,PANAMA 7.88% 2057-03-01 USD,7.875% BD REDEEM 01/03/2057 USD 200000,96.904,8.145915,7.875,Government,2057-03-01,Panama,Y,USD,2024-02-29T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,31.775
US698299AW45,PANAMA 6.70% 2036-01-26 USD,6.70% BD REDEEM 26/01/2036 USD 1000,96.421,7.218412,6.7,Government,2036-01-26,Panama,N,USD,2006-01-26T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,10.678
US698299BW36,PANAMA 6.88% 2036-01-31 USD,6.875% BD REDEEM 31/01/2036 USD 200000,96.928,7.291269,6.875,Government,2036-01-31,Panama,Y,USD,2023-10-04T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,10.692
US698299BR41,PANAMA 3.30% 2033-01-19 USD,3.298% NT REDEEM 19/01/2033 USD 200000,78.507,6.95753,3.298,Government,2033-01-19,Panama,Y,USD,2022-01-19T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,7.658
US698299BY91,PANAMA 8.00% 2038-03-01 USD,8% BD REDEEM 01/03/2038 USD 200000,103.571,7.522539,8,Government,2038-03-01,Panama,Y,USD,2024-02-29T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,12.775
US698299BN37,PANAMA 2.25% 2032-09-29 USD,2.252% BD REDEEM 29/09/2032 USD 200000,73.3,6.939247,2.252,Government,2032-09-29,Panama,Y,USD,2020-09-29T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,7.353
US698299BK97,PANAMA 3.16% 2030-01-23 USD,3.16% BD REDEEM 23/01/2030 USD 200000,87.635,6.240837,3.16,Government,2030-01-23,Panama,Y,USD,2019-07-23T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,4.669
US698299BX19,PANAMA 7.50% 2031-03-01 USD,7.50% BD REDEEM 01/03/2031 USD 200000,104.299,6.592208,7.5,Government,2031-03-01,Panama,Y,USD,2024-02-29T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,5.775
PAL634445XA3,PANAMA 3.36% 2031-06-30 USD,3.362% BD REDEEM 30/06/2031 USD 1000,80.584,7.355269,3.362,Government,2031-06-30,Panama,N,USD,2021-06-30T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,6.106
USP90603AP97,PANAMA 3.36% 2031-06-30 USD,3.362% BD REDEEM 30/06/2031 USD - Reg S,80.585,7.354924,3.362,Government,2031-06-30,Panama,N,USD,2021-06-30T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,6.106
US698299BQ67,PANAMA 3.36% 2031-06-30 USD,3.362% BD REDEEM 30/06/2031 USD - 144A,80.585,7.354924,3.362,Government,2031-06-30,Panama,N,USD,2021-06-30T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,6.106
US698299BF03,PANAMA 3.88% 2028-03-17 USD,3.875% BD REDEEM 17/03/2028 USD 200000,95.668,5.542748,3.875,Government,2028-03-17,Panama,Y,USD,2016-03-17T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,2.819
US698299AK07,PANAMA 9.38% 2029-04-01 USD,9.375% BD REDCONV 01/04/2029 USD 1000,111.067,6.121735,9.375,Government,2029-04-01,Panama,N,USD,1999-03-31T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,3.858
PAL63444A5A0,PANAMA 5.20% 2034-07-05 USD,5.20% BD REDEEM 05/07/2034 USD 100000,84.938,7.505511,5.2,Government,2034-07-05,Panama,NA,USD,2022-07-05T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,9.119
PAL634445VA7,PANAMA 2.85% 2027-06-27 USD,2.85% BD REDEEM 27/06/2027 USD - Ser A,93.719,6.054042,2.85,Government,2027-06-27,Panama,N,USD,2019-12-27T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,2.097
US698299AT16,PANAMA 8.13% 2034-04-28 USD,8.125% BD REDCONV 28/04/2034 USD 1000,105.472,7.281492,8.125,Government,2034-04-28,Panama,N,USD,2004-01-28T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,8.933
PAL63444B5A9,PANAMA 6.38% 2033-07-25 USD,6.375% BD REDEEM 25/07/2033 USD 1000,93.73,7.407027,6.375,Government,2033-07-25,Panama,N,USD,2023-07-25T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,8.175
US698299AD63,PANAMA 8.88% 2027-09-30 USD,8.875% BD REDCONV 30/09/2027 USD 1000 - Ser A,108.058,5.218716,8.875,Government,2027-09-30,Panama,N,USD,1997-09-26T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,2.356
US698299AV61,PANAMA 7.13% 2026-01-29 USD,7.125% BD REDEEM 29/01/2026 USD 1000,101.449,4.994011,7.125,Government,2026-01-29,Panama,N,USD,2005-11-29T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,0.686
PAL63444C5A8,PANAMA 6.50% 2028-12-28 USD,6.50% BD REDEEM 28/12/2028 USD 100000,101.595,6.000516,6.5,Government,2028-12-28,Panama,NA,USD,2023-12-28T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,3.6
PAL634445WA5,PANAMA 3.00% 2029-12-27 USD,3% BD REDEEM 27/12/2029 USD - Ser A,85.825,6.611884,3,Government,2029-12-27,Panama,NA,USD,2019-12-27T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,4.597
PAL634445TA1,PANAMA 3.75% 2026-04-17 USD,3.75% NT REDEEM 17/04/2026 USD 1000 - Ser A,97.739,6.307917,3.75,Government,2026-04-17,Panama,N,USD,2019-04-17T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,0.903
US25714PED69,DRGB 4.50% 2030-01-30 USD,4.50% BD REDEEM 30/01/2030 USD 150000 - 144A,94.125,5.946867,4.5,Government,2030-01-30,Dominican Republic,Y,USD,2020-01-30T00:00:00Z,2025-05-15T00:00:00Z,Active,2025-05-22,4.689
