ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date,Regulation
CRG0000B33J2,CRTP 7.20% 2033-11-23 USD,7.20% BD REDEEM 23/11/2033 USD 1000,103.952,5.526539,5.450482,7.2,Government,2033-11-23,Costa Rica,NA,USD,2023-05-23T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,8.425,Unspecified
CRG0000B20J9,CRTP 9.00% 2034-05-24 USD,9% BD REDEEM 24/05/2034 USD 1000,125.231,4.228574,4.185289,9,Government,2034-05-24,Costa Rica,NA,USD,2022-05-24T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,8.928,Unspecified
USP3699PGK77,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - Reg S,102.525,5.500176,5.421091,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,5.664,Reg S
US221597CP00,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - 144A,102.525,5.500176,5.421091,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,5.664,144A
XS1968712338,CRTP 9.20% 2029-02-21 USD,9.20% BD REDEEM 21/02/2029 USD 1000 - REG S,112.108,5.511038,5.429773,9.2,Government,2029-02-21,Costa Rica,NA,USD,2019-02-21T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,3.669,Unspecified
US221597CL95,CRTP 9.20% 2029-02-21 USD,9.20% NT REDEEM 21/02/2029 USD - 144A,112.108,5.511038,5.429773,9.2,Government,2029-02-21,Costa Rica,N,USD,2019-03-21T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,3.669,144A
CRG0000B45I8,CRTP 10.00% 2029-02-21 USD,10% BD REDEEM 21/02/2029 USD 1000,112.11,5.510576,5.429323,10,Government,2029-02-21,Costa Rica,NA,USD,2019-03-20T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,3.669,Unspecified
USP3699PGH49,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - Reg S,101.067,6.896517,6.779813,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,18.789,Reg S
US221602AC91,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - 144A,101.067,6.896517,6.779813,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,18.789,144A
US221604BG52,CRTP 6.67% 2030-11-22 USD,6.67% NT REDEEM 22/11/2030 USD - 144A,107.132,5.146063,5.079812,6.67,Government,2030-11-22,Costa Rica,N,USD,2016-08-17T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,5.422,144A
USP3699PGJ05,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - Reg S,102.32,6.938951,6.821455,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,19.728,Reg S
US221597BV86,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - 144A,102.32,6.938951,6.821455,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,19.728,144A
USP3699PGM34,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg S,102.7,6.08371,5.992064,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,8.786,Reg S
US221597CR65,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg 144A,102.7,6.08371,5.992064,6.55,Government,2034-04-03,Costa Rica,NA,USD,2023-04-03T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,8.786,144A
USP3699PGF82,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - Reg S,88.498,6.741188,6.630656,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,17.861,Reg S
US221597BT31,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - 144A,88.498,6.741188,6.630656,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,17.861,144A
USP3699PGN17,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 200000 - Reg S,102.478,7.094208,6.971039,7.3,Government,2054-11-13,Costa Rica,Y,USD,2023-11-13T00:00:00Z,2025-06-13T00:00:00Z,Active,2025-06-20,29.397,Reg S
US221597CV77,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 1000 - 144A,102.478,7.094208,6.971039,7.3,Government,2054-11-13,Costa Rica,NA,USD,2023-11-13T00:00:00Z,2025-06-13T00:00:00Z,Active,2025-06-20,29.397,144A
US283875CD23,ELSALV 0.25% 2030-04-17 USD,FXDVR NT REDEEM 17/04/2030 USD 150000 - 144A,94.435,1.978048,1.968007,0.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,4.825,144A
US283875AS10,ELSALV 6.38% 2027-01-18 USD,6.375% NT REDEEM 18/01/2027 USD 5000 - 144A,99.003,7.046104,6.916812,6.375,Government,2027-01-18,El Salvador,N,USD,2014-09-18T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,1.578,144A
USP01012AT38,ELSALV 6.38% 2027-01-18 USD,6.375% NT REDEEM 18/01/2027 USD 5000 - Reg S,99.003,7.046104,6.916812,6.375,Government,2027-01-18,El Salvador,N,USD,2014-09-18T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,1.578,Reg S
US283875BW13,ELSALV 8.63% 2029-02-28 USD,8.625% NT REDEEM 28/02/2029 USD 5000 - 144A,103.754,7.438613,7.295286,8.625,Government,2029-02-28,El Salvador,N,USD,2017-02-28T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,3.689,144A
USP01012BX31,ELSALV 8.63% 2029-02-28 USD,8.625% NT REDEEM 28/02/2029 USD 5000 - Reg S,103.754,7.438613,7.295286,8.625,Government,2029-02-28,El Salvador,N,USD,2017-02-28T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,3.689,Reg S
US283875AH54,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - 144A,101.052,8.042599,7.884334,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,6.806,144A
XS0146173371,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - Reg S,101.052,8.042599,7.884334,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,6.806,Reg S
USP01012CF16,ELSALV 9.25% 2030-04-17 USD,9.25% NT REDEEM 17/04/2030 USD 150000 - Reg S,105.698,7.290101,7.159477,9.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,4.825,Reg S
US283875CE06,ELSALV 9.25% 2030-04-17 USD,9.25% NT REDEEM 17/04/2030 USD 150000 - 144A,105.698,7.290101,7.159477,9.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,4.825,144A
US283875AN23,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - 144A,95.585,8.308839,8.141235,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,9.986,144A
USP01012AN67,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - Reg S,95.585,8.308839,8.141235,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,9.986,Reg S
US283875BZ44,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 150000 - 144A,82.203,8.921431,8.727554,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,24.583,144A
USP01012CA29,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 1500000 - Reg S,82.203,8.921431,8.727554,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,24.583,Reg S
USP01012AM84,ELSALV 7.63% 2034-09-21 USD,7.625% NT REDEEM 21/09/2034 USD 10000 - Reg S,96.701,8.136146,7.974459,7.625,Government,2034-09-21,El Salvador,N,USD,2004-09-21T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,9.253,Reg S
US283875CB66,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - 144A,100.758,9.420664,9.205018,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,27.069,144A
USP01012CC84,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - Reg S,100.758,9.420664,9.205018,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,27.069,Reg S
US283875AQ53,ELSALV 7.63% 2041-02-01 USD,7.625% NT REDEEM 01/02/2041 USD 150000 - 144A,91.074,8.677546,8.491165,7.625,Government,2041-02-01,El Salvador,N,USD,2011-02-01T00:00:00Z,2025-06-18T00:00:00Z,Active,2025-06-20,15.614,144A
