ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date,Regulation
USP3699PGF82,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - Reg S,91.118,6.475127,6.37306,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-08-28T00:00:00Z,Active,2025-08-29,17.597,Reg S
US221597BT31,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - 144A,91.118,6.475127,6.37306,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-08-28T00:00:00Z,Active,2025-08-29,17.597,144A
USP3699PGJ05,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - Reg S,105.023,6.693114,6.583686,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-08-28T00:00:00Z,Active,2025-08-29,19.464,Reg S
US221597BV86,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - 144A,105.023,6.693114,6.583686,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-08-28T00:00:00Z,Active,2025-08-29,19.464,144A
USP3699PGM34,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg S,105.569,5.58694,5.509373,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-08-28T00:00:00Z,Active,2025-08-29,8.522,Reg S
US221597CR65,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg 144A,105.569,5.58694,5.509373,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-08-28T00:00:00Z,Active,2025-08-29,8.522,144A
USP3699PGH49,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - Reg S,103.794,6.640897,6.532538,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-08-28T00:00:00Z,Active,2025-08-29,18.525,Reg S
US221602AC91,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - 144A,103.794,6.640897,6.532538,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-08-28T00:00:00Z,Active,2025-08-29,18.525,144A
CRG0000B33J2,CRTP 7.20% 2033-11-23 USD,7.20% BD REDEEM 23/11/2033 USD 1000,112.522,5.302051,5.231921,7.2,Government,2033-11-23,Costa Rica,NA,USD,2023-05-23T00:00:00Z,2025-08-28T00:00:00Z,Active,2025-08-29,8.161,Unspecified
CRG0000B20J9,CRTP 9.00% 2034-05-24 USD,9% BD REDEEM 24/05/2034 USD 1000,136.543,4.001799,3.963003,9,Government,2034-05-24,Costa Rica,NA,USD,2022-05-24T00:00:00Z,2025-08-28T00:00:00Z,Active,2025-08-29,8.664,Unspecified
