ISIN,Name,Description,Clean Price,Yield (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date
CRG0000B33J2,CRTP 7.20% 2033-11-23 USD,7.20% BD REDEEM 23/11/2033 USD 1000,104.306,5.478331,7.2,Government,2033-11-23,Costa Rica,NA,USD,2023-05-23T00:00:00Z,2025-05-29T00:00:00Z,Active,2025-05-30,8.481
CRG0000B20J9,CRTP 9.00% 2034-05-24 USD,9% BD REDEEM 24/05/2034 USD 1000,125.703,4.188153,9,Government,2034-05-24,Costa Rica,NA,USD,2022-05-24T00:00:00Z,2025-05-29T00:00:00Z,Active,2025-05-30,8.983
USP3699PGJ05,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - Reg S,102.527,6.920239,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-05-29T00:00:00Z,Active,2025-05-30,19.783
US221597BV86,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - 144A,102.527,6.920239,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-05-29T00:00:00Z,Active,2025-05-30,19.783
USP3699PGK77,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - Reg S,102.762,5.448903,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-05-29T00:00:00Z,Active,2025-05-30,5.719
US221597CP00,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - 144A,102.762,5.448903,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-05-29T00:00:00Z,Active,2025-05-30,5.719
USP3699PGF82,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - Reg S,88.816,6.706118,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-05-29T00:00:00Z,Active,2025-05-30,17.917
US221597BT31,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - 144A,88.816,6.706118,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-05-29T00:00:00Z,Active,2025-05-30,17.917
USP3699PGH49,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - Reg S,101.367,6.86838,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-05-29T00:00:00Z,Active,2025-05-30,18.844
US221602AC91,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - 144A,101.367,6.86838,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-05-29T00:00:00Z,Active,2025-05-30,18.844
