ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date,Regulation
CRG0000B20J9,CRTP 9.00% 2034-05-24 USD,9% BD REDEEM 24/05/2034 USD 1000,138.321,3.788367,3.754897,9,Government,2034-05-24,Costa Rica,NA,USD,2022-05-24T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,8.664,Unspecified
CRG0000B33J2,CRTP 7.20% 2033-11-23 USD,7.20% BD REDEEM 23/11/2033 USD 1000,114.003,5.088377,5.025447,7.2,Government,2033-11-23,Costa Rica,NA,USD,2023-05-23T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,8.161,Unspecified
USP3699PGH49,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - Reg S,105.882,6.451297,6.350292,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,18.525,Reg S
US221602AC91,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - 144A,105.882,6.451297,6.350292,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,18.525,144A
USP3699PGF82,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - Reg S,92.776,6.308938,6.213269,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,17.597,Reg S
US221597BT31,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - 144A,92.776,6.308938,6.213269,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,17.597,144A
XS1968712338,CRTP 9.20% 2029-02-21 USD,9.20% BD REDEEM 21/02/2029 USD 1000 - REG S,113.333,4.941121,4.878064,9.2,Government,2029-02-21,Costa Rica,NA,USD,2019-02-21T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,3.406,Unspecified
US221597CL95,CRTP 9.20% 2029-02-21 USD,9.20% NT REDEEM 21/02/2029 USD - 144A,113.333,4.941121,4.878064,9.2,Government,2029-02-21,Costa Rica,N,USD,2019-03-21T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,3.406,144A
USP3699PGM34,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg S,107.387,5.281719,5.214315,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,8.522,Reg S
US221597CR65,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg 144A,107.387,5.281719,5.214315,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,8.522,144A
USP3699PGJ05,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - Reg S,107.057,6.513762,6.41139,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,19.464,Reg S
US221597BV86,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - 144A,107.057,6.513762,6.41139,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,19.464,144A
USP3699PGK77,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - Reg S,104.532,4.969949,4.907299,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,5.4,Reg S
US221597CP00,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - 144A,104.532,4.969949,4.907299,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,5.4,144A
CRG0000B45I8,CRTP 10.00% 2029-02-21 USD,10% BD REDEEM 21/02/2029 USD 1000,112.317,5.987219,5.895783,10,Government,2029-02-21,Costa Rica,NA,USD,2019-03-20T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,3.406,Unspecified
US221604BG52,CRTP 6.67% 2030-11-22 USD,6.67% NT REDEEM 22/11/2030 USD - 144A,107.602,4.989152,4.929167,6.67,Government,2030-11-22,Costa Rica,N,USD,2016-08-17T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,5.158,144A
USP3699PGN17,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 200000 - Reg S,103.78,6.988571,6.869476,7.3,Government,2054-11-13,Costa Rica,Y,USD,2023-11-13T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-09-12,29.133,Reg S
US221597CV77,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 1000 - 144A,103.78,6.988571,6.869476,7.3,Government,2054-11-13,Costa Rica,NA,USD,2023-11-13T00:00:00Z,2025-07-31T00:00:00Z,Active,2025-09-12,29.133,144A
USP01012AN67,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - Reg S,101.274,7.461391,7.328201,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,9.722,Reg S
US283875AN23,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - 144A,101.274,7.461391,7.328201,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,9.722,144A
USP01012CA29,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 1500000 - Reg S,86.138,8.47748,8.303734,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,24.319,Reg S
US283875BZ44,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 150000 - 144A,86.138,8.47748,8.303734,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,24.319,144A
USP01012CC84,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - Reg S,105.91,8.914868,8.723205,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,26.806,Reg S
US283875CB66,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - 144A,105.91,8.914868,8.723205,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-09-11T00:00:00Z,Active,2025-09-12,26.806,144A
