ISIN,Name,Description,Clean Price,Yield (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date
USP3699PGN17,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 200000 - Reg S,101.546,7.170941,7.3,Government,2054-11-13,Costa Rica,Y,USD,2023-11-13T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,29.475
US221597CV77,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 1000 - 144A,101.546,7.170941,7.3,Government,2054-11-13,Costa Rica,NA,USD,2023-11-13T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,29.475
CRG0000B20J9,CRTP 9.00% 2034-05-24 USD,9% BD REDEEM 24/05/2034 USD 1000,125.208,4.266025,9,Government,2034-05-24,Costa Rica,NA,USD,2022-05-24T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,9.006
CRG0000B33J2,CRTP 7.20% 2033-11-23 USD,7.20% BD REDEEM 23/11/2033 USD 1000,103.798,5.555746,7.2,Government,2033-11-23,Costa Rica,NA,USD,2023-05-23T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,8.503
USP3699PGK77,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - Reg S,102.251,5.579344,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,5.742
US221597CP00,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - 144A,102.251,5.579344,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,5.742
US221604BG52,CRTP 6.67% 2030-11-22 USD,6.67% NT REDEEM 22/11/2030 USD - 144A,105.51,5.504498,6.67,Government,2030-11-22,Costa Rica,N,USD,2016-08-17T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,5.5
CRG0000B45I8,CRTP 10.00% 2029-02-21 USD,10% BD REDEEM 21/02/2029 USD 1000,111.652,5.741043,10,Government,2029-02-21,Costa Rica,NA,USD,2019-03-20T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,3.747
XS1968712338,CRTP 9.20% 2029-02-21 USD,9.20% BD REDEEM 21/02/2029 USD 1000 - REG S,111.651,5.741488,9.2,Government,2029-02-21,Costa Rica,NA,USD,2019-02-21T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,3.747
US221597CL95,CRTP 9.20% 2029-02-21 USD,9.20% NT REDEEM 21/02/2029 USD - 144A,111.651,5.741488,9.2,Government,2029-02-21,Costa Rica,N,USD,2019-03-21T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,3.747
USP3699PGM34,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg S,102.153,6.182498,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,8.864
US221597CR65,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg 144A,102.153,6.182498,6.55,Government,2034-04-03,Costa Rica,NA,USD,2023-04-03T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,8.864
USP3699PGF82,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - Reg S,88.492,6.738212,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,17.939
US221597BT31,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - 144A,88.492,6.738212,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,17.939
USP3699PGH49,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - Reg S,100.659,6.936179,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,18.867
US221602AC91,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - 144A,100.659,6.936179,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,18.867
USP3699PGJ05,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - Reg S,101.709,6.996341,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,19.806
US221597BV86,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - 144A,101.709,6.996341,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,19.806
USP01012CF16,ELSALV 9.25% 2030-04-17 USD,9.25% NT REDEEM 17/04/2030 USD 150000 - Reg S,102.523,8.393364,9.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,4.903
US283875CE06,ELSALV 9.25% 2030-04-17 USD,9.25% NT REDEEM 17/04/2030 USD 150000 - 144A,102.523,8.393364,9.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,4.903
US283875CD23,ELSALV 0.25% 2030-04-17 USD,FXDVR NT REDEEM 17/04/2030 USD 150000 - 144A,93.741,2.130055,0.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,4.903
US283875AS10,ELSALV 6.38% 2027-01-18 USD,6.375% NT REDEEM 18/01/2027 USD 5000 - 144A,97.902,7.697958,6.375,Government,2027-01-18,El Salvador,N,USD,2014-09-18T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,1.656
USP01012AT38,ELSALV 6.38% 2027-01-18 USD,6.375% NT REDEEM 18/01/2027 USD 5000 - Reg S,97.902,7.697958,6.375,Government,2027-01-18,El Salvador,N,USD,2014-09-18T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,1.656
USP01012AM84,ELSALV 7.63% 2034-09-21 USD,7.625% NT REDEEM 21/09/2034 USD 10000 - Reg S,93.741,8.608451,7.625,Government,2034-09-21,El Salvador,N,USD,2004-09-21T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,9.331
US283875AN23,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - 144A,93.97,8.550073,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,10.064
USP01012AN67,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - Reg S,93.97,8.550073,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,10.064
US283875BW13,ELSALV 8.63% 2029-02-28 USD,8.625% NT REDEEM 28/02/2029 USD 5000 - 144A,101.519,8.148914,8.625,Government,2029-02-28,El Salvador,N,USD,2017-02-28T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,3.767
USP01012BX31,ELSALV 8.63% 2029-02-28 USD,8.625% NT REDEEM 28/02/2029 USD 5000 - Reg S,101.519,8.148914,8.625,Government,2029-02-28,El Salvador,N,USD,2017-02-28T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,3.767
US283875BZ44,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 150000 - 144A,79.906,9.194858,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,24.661
USP01012CA29,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 1500000 - Reg S,79.906,9.194858,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,24.661
US283875CB66,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - 144A,99.09,9.591923,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,27.147
USP01012CC84,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - Reg S,99.09,9.591923,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,27.147
US283875AH54,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - 144A,98.016,8.634228,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,6.883
XS0146173371,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - Reg S,98.016,8.634228,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,6.883
US283875AQ53,ELSALV 7.63% 2041-02-01 USD,7.625% NT REDEEM 01/02/2041 USD 150000 - 144A,89.651,8.853391,7.625,Government,2041-02-01,El Salvador,N,USD,2011-02-01T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,15.692
USP01012AR71,ELSALV 7.63% 2041-02-01 USD,7.625% NT REDEEM 01/02/2041 USD 150000 - Reg S,89.651,8.853391,7.625,Government,2041-02-01,El Salvador,N,USD,2011-02-01T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,15.692
USP5015VAK28,GUATEM 5.38% 2032-04-24 USD,5.375% NT REDEEM 24/04/2032 USD 200000 - Reg S,96.68,5.963316,5.375,Government,2032-04-24,Guatemala,Y,USD,2020-04-24T00:00:00Z,2025-05-02T00:00:00Z,Active,2025-05-02,6.922
