ISIN,Name,Description,Clean Price,Yield (%),YTM (%),Coupon,Industry,Maturity,Issuer,Callable,Currency,Issue Date,Pricing Date,Status,Today,Tenor_Date,Regulation
USP3699PGJ05,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - Reg S,103.293,6.849531,6.734464,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,19.633,Reg S
US221597BV86,CRTP 7.16% 2045-03-12 USD,7.158% NT REDEEM 12/03/2045 USD 200000 - 144A,103.293,6.849531,6.734464,7.158,Government,2045-03-12,Costa Rica,Y,USD,2015-03-12T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,19.633,144A
USP3699PGH49,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - Reg S,101.91,6.816511,6.701908,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,18.694,Reg S
US221602AC91,CRTP 7.00% 2044-04-04 USD,7% NT REDEEM 04/04/2044 USD 200000 - 144A,101.91,6.816511,6.701908,7,Government,2044-04-04,Costa Rica,N,USD,2014-04-04T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,18.694,144A
CRG0000B33J2,CRTP 7.20% 2033-11-23 USD,7.20% BD REDEEM 23/11/2033 USD 1000,104.258,5.477799,5.402335,7.2,Government,2033-11-23,Costa Rica,NA,USD,2023-05-23T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,8.331,Unspecified
CRG0000B20J9,CRTP 9.00% 2034-05-24 USD,9% BD REDEEM 24/05/2034 USD 1000,125.478,4.182126,4.139264,9,Government,2034-05-24,Costa Rica,NA,USD,2022-05-24T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,8.833,Unspecified
USP3699PGF82,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - Reg S,89.322,6.656553,6.548234,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,17.767,Reg S
US221597BT31,CRTP 5.63% 2043-04-30 USD,5.625% NT REDEEM 30/04/2043 USD 200000 - 144A,89.322,6.656553,6.548234,5.625,Government,2043-04-30,Costa Rica,N,USD,2013-04-30T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,17.767,144A
USP3699PGM34,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg S,104.041,5.854063,5.768226,6.55,Government,2034-04-03,Costa Rica,Y,USD,2023-04-03T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,8.692,Reg S
US221597CR65,CRTP 6.55% 2034-04-03 USD,6.55% BD REDEEM 03/04/2034 USD 200000 - Reg 144A,104.041,5.854063,5.768226,6.55,Government,2034-04-03,Costa Rica,NA,USD,2023-04-03T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,8.692,144A
USP3699PGK77,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - Reg S,102.741,5.440488,5.361793,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,5.569,Reg S
US221597CP00,CRTP 6.13% 2031-02-19 USD,6.125% NT REDEEM 19/02/2031 USD 200000 - 144A,102.741,5.440488,5.361793,6.125,Government,2031-02-19,Costa Rica,Y,USD,2019-11-19T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,5.569,144A
US221604BG52,CRTP 6.67% 2030-11-22 USD,6.67% NT REDEEM 22/11/2030 USD - 144A,106.967,5.165174,5.097451,6.67,Government,2030-11-22,Costa Rica,N,USD,2016-08-17T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,5.328,144A
CRG0000B45I8,CRTP 10.00% 2029-02-21 USD,10% BD REDEEM 21/02/2029 USD 1000,112.027,5.482842,5.400702,10,Government,2029-02-21,Costa Rica,NA,USD,2019-03-20T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,3.575,Unspecified
XS1968712338,CRTP 9.20% 2029-02-21 USD,9.20% BD REDEEM 21/02/2029 USD 1000 - REG S,112.025,5.483234,5.401083,9.2,Government,2029-02-21,Costa Rica,NA,USD,2019-02-21T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,3.575,Unspecified
US221597CL95,CRTP 9.20% 2029-02-21 USD,9.20% NT REDEEM 21/02/2029 USD - 144A,112.025,5.483234,5.401083,9.2,Government,2029-02-21,Costa Rica,N,USD,2019-03-21T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,3.575,144A
USP3699PGN17,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 200000 - Reg S,103.783,6.988811,6.86881,7.3,Government,2054-11-13,Costa Rica,Y,USD,2023-11-13T00:00:00Z,2025-07-02T00:00:00Z,Active,2025-07-11,29.303,Reg S
US221597CV77,CRTP 7.30% 2054-11-13 USD,7.30% BD REDEEM 13/11/2054 USD 1000 - 144A,103.783,6.988811,6.86881,7.3,Government,2054-11-13,Costa Rica,NA,USD,2023-11-13T00:00:00Z,2025-07-02T00:00:00Z,Active,2025-07-11,29.303,144A
US283875AS10,ELSALV 6.38% 2027-01-18 USD,6.375% NT REDEEM 18/01/2027 USD 5000 - 144A,99.009,7.071117,6.936354,6.375,Government,2027-01-18,El Salvador,N,USD,2014-09-18T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,1.483,144A
USP01012AT38,ELSALV 6.38% 2027-01-18 USD,6.375% NT REDEEM 18/01/2027 USD 5000 - Reg S,99.009,7.071117,6.936354,6.375,Government,2027-01-18,El Salvador,N,USD,2014-09-18T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,1.483,Reg S
US283875CD23,ELSALV 0.25% 2030-04-17 USD,FXDVR NT REDEEM 17/04/2030 USD 150000 - 144A,94.387,2.02605,2.014978,0.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,4.731,144A
US283875BW13,ELSALV 8.63% 2029-02-28 USD,8.625% NT REDEEM 28/02/2029 USD 5000 - 144A,103.943,7.363654,7.220891,8.625,Government,2029-02-28,El Salvador,N,USD,2017-02-28T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,3.594,144A
USP01012BX31,ELSALV 8.63% 2029-02-28 USD,8.625% NT REDEEM 28/02/2029 USD 5000 - Reg S,103.943,7.363654,7.220891,8.625,Government,2029-02-28,El Salvador,N,USD,2017-02-28T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,3.594,Reg S
USP01012AM84,ELSALV 7.63% 2034-09-21 USD,7.625% NT REDEEM 21/09/2034 USD 10000 - Reg S,97.627,7.991483,7.834362,7.625,Government,2034-09-21,El Salvador,N,USD,2004-09-21T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,9.158,Reg S
US283875AH54,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - 144A,102.11,7.837632,7.685913,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,6.711,144A
XS0146173371,ELSALV 8.25% 2032-04-10 USD,8.25% NT REDEEM 10/04/2032 USD 10000 - Reg S,102.11,7.837632,7.685913,8.25,Government,2032-04-10,El Salvador,N,USD,2002-04-10T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,6.711,Reg S
USP01012AN67,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - Reg S,96.99,8.095503,7.935313,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,9.892,Reg S
US283875AN23,ELSALV 7.65% 2035-06-15 USD,7.65% NT REDEEM 15/06/2035 USD 10000 - 144A,96.99,8.095503,7.935313,7.65,Government,2035-06-15,El Salvador,N,USD,2005-06-10T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,9.892,144A
US283875CB66,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - 144A,102.542,9.242349,9.033859,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,26.975,144A
USP01012CC84,ELSALV 9.50% 2052-07-15 USD,9.50% NT REDEEM 15/07/2052 USD 150000 - Reg S,102.542,9.242349,9.033859,9.5,Government,2052-07-15,El Salvador,Y,USD,2020-07-15T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,26.975,Reg S
USP01012CF16,ELSALV 9.25% 2030-04-17 USD,9.25% NT REDEEM 17/04/2030 USD 150000 - Reg S,106.029,7.1471730000000004,7.019374,9.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,4.731,Reg S
US283875CE06,ELSALV 9.25% 2030-04-17 USD,9.25% NT REDEEM 17/04/2030 USD 150000 - 144A,106.029,7.1471730000000004,7.019374,9.25,Government,2030-04-17,El Salvador,Y,USD,2024-04-17T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,4.731,144A
USP01012AR71,ELSALV 7.63% 2041-02-01 USD,7.625% NT REDEEM 01/02/2041 USD 150000 - Reg S,92.105,8.551126,8.369161,7.625,Government,2041-02-01,El Salvador,N,USD,2011-02-01T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,15.519,Reg S
US283875AQ53,ELSALV 7.63% 2041-02-01 USD,7.625% NT REDEEM 01/02/2041 USD 150000 - 144A,92.105,8.551126,8.369161,7.625,Government,2041-02-01,El Salvador,N,USD,2011-02-01T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,15.519,144A
US283875BZ44,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 150000 - 144A,83.2,8.806978,8.617235,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,24.489,144A
USP01012CA29,ELSALV 7.12% 2050-01-20 USD,7.1246% NT REDEEM 20/01/2050 USD 1500000 - Reg S,83.2,8.806978,8.617235,7.1246,Government,2050-01-20,El Salvador,Y,USD,2019-08-06T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,24.489,Reg S
USP8056GAB97,GUATEM 8.13% 2034-10-06 USD,8.125% NT REDEEM 06/10/2034 USD 10000 - Reg S,111.228,6.487837,6.383487,8.125,Government,2034-10-06,Guatemala,N,USD,2004-10-06T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,9.2,Reg S
US401494AD16,GUATEM 8.13% 2034-10-06 USD,8.125% NT REDEEM 06/10/2034 USD 10000 - 144A,111.228,6.487837,6.383487,8.125,Government,2034-10-06,Guatemala,N,USD,2004-10-06T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,9.2,144A
USP5015VAJ54,GUATEM 6.13% 2050-06-01 USD,6.125% NT REDEEM 01/06/2050 USD 200000 - Reg S,90.764,6.920345,6.802229,6.125,Government,2050-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,24.853,Reg S
US401494AR02,GUATEM 6.13% 2050-06-01 USD,6.125% NT REDEEM 01/06/2050 USD 200000 - 144A,90.764,6.920345,6.802229,6.125,Government,2050-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,24.853,144A
USP5015VAM83,GUATEM 3.70% 2033-10-07 USD,3.70% NT REDEEM 07/10/2033 USD 200000 - Reg S,84.537,6.115413,6.022135,3.7,Government,2033-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,8.203,Reg S
US401494AT67,GUATEM 3.70% 2033-10-07 USD,3.70% NT REDEEM 07/10/2033 USD 200000 - 144A,84.537,6.115413,6.022135,3.7,Government,2033-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,8.203,144A
USP5015VAN66,GUATEM 4.65% 2041-10-07 USD,4.65% NT REDEEM 07/10/2041 USD 200000 - Reg S,79.354,6.76298,6.650079,4.65,Government,2041-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,16.203,Reg S
US401494AU31,GUATEM 4.65% 2041-10-07 USD,4.65% NT REDEEM 07/10/2041 USD 200000 - 144A,79.354,6.76298,6.650079,4.65,Government,2041-10-07,Guatemala,Y,USD,2021-10-07T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,16.203,144A
USP5015VAS53,GUATEM 6.55% 2037-02-06 USD,6.55% BD REDEEM 06/02/2037 USD 1000,100.63,6.471048,6.364837,6.55,Government,2037-02-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,11.533,Unspecified
US401494AZ28,GUATEM 6.55% 2037-02-06 USD,6.55% BD REDEEM 06/02/2037 USD 1000 - 144A,100.63,6.471048,6.364837,6.55,Government,2037-02-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,11.533,144A
USP5015VAK28,GUATEM 5.38% 2032-04-24 USD,5.375% NT REDEEM 24/04/2032 USD 200000 - Reg S,97.476,5.828744,5.744506,5.375,Government,2032-04-24,Guatemala,Y,USD,2020-04-24T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,6.75,Reg S
US401494AS84,GUATEM 5.38% 2032-04-24 USD,5.375% NT REDEEM 24/04/2032 USD 200000 - 144A,97.476,5.828744,5.744506,5.375,Government,2032-04-24,Guatemala,Y,USD,2020-04-24T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,6.75,144A
USP5015VAR70,GUATEM 7.05% 2032-10-04 USD,7.05% BD REDEEM 04/10/2032 USD 1000,106.189,5.981254,5.891184,7.05,Government,2032-10-04,Guatemala,NA,USD,2023-10-04T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,7.194,Unspecified
US401494AX79,GUATEM 7.05% 2032-10-04 USD,7.05% BD REDEEM 04/10/2032 USD 200000,106.189,5.981254,5.891184,7.05,Government,2032-10-04,Guatemala,Y,USD,2023-10-04T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,7.194,Unspecified
USP5015VAH98,GUATEM 4.90% 2030-06-01 USD,4.90% NT REDEEM 01/06/2030 USD 200000 - Reg S,97.895,5.509198,5.432131,4.9,Government,2030-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,4.853,Reg S
US401494AQ29,GUATEM 4.90% 2030-06-01 USD,4.90% NT REDEEM 01/06/2030 USD 200000 - 144A,97.895,5.509199,5.432131,4.9,Government,2030-06-01,Guatemala,Y,USD,2019-05-31T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,4.853,144A
USP5015VAQ97,GUATEM 6.60% 2036-06-13 USD,6.60% BD REDEEM 13/06/2036 USD 1000 - Reg S,101.615,6.36839,6.268235,6.6,Government,2036-06-13,Guatemala,Y,USD,2023-06-13T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,10.886,Reg S
US401494AW96,GUATEM 6.60% 2036-06-13 USD,6.60% BD REDEEM 13/06/2036 USD 200000 - 144A,101.615,6.36839,6.268235,6.6,Government,2036-06-13,Guatemala,Y,USD,2023-06-13T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,10.886,144A
USP5015VAT37,GUATEM 6.05% 2031-08-06 USD,6.05% BD REDEEM 06/08/2031 USD 1000,101.357,5.78086,5.697428,6.05,Government,2031-08-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,6.033,Unspecified
US401494AY52,GUATEM 6.05% 2031-08-06 USD,6.05% BD REDEEM 06/08/2031 USD - 144A,101.357,5.78086,5.697428,6.05,Government,2031-08-06,Guatemala,Y,USD,2024-08-06T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,6.033,144A
USP5015VAE67,GUATEM 4.88% 2028-02-13 USD,4.875% NT REDEEM 13/02/2028 USD 200000 - Reg S,98.582,5.467359,5.385711,4.875,Government,2028-02-13,Guatemala,N,USD,2013-02-13T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,2.553,Reg S
US401494AF63,GUATEM 4.88% 2028-02-13 USD,4.875% NT REDEEM 13/02/2028 USD 200000 - 144A,98.582,5.467359,5.385711,4.875,Government,2028-02-13,Guatemala,N,USD,2013-02-13T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,2.553,144A
USP5015VAP15,GUATEM 5.25% 2029-08-10 USD,5.25% BD REDEEM 10/08/2029 USD 200000 - Reg S,98.895,5.554896,5.4763,5.25,Government,2029-08-10,Guatemala,Y,USD,2022-08-10T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,4.044,Reg S
US401494AV14,GUATEM 5.25% 2029-08-10 USD,5.25% BD REDEEM 10/08/2029 USD 200000 - 144A,98.895,5.554896,5.4763,5.25,Government,2029-08-10,Guatemala,Y,USD,2022-08-10T00:00:00Z,2025-07-10T00:00:00Z,Active,2025-07-11,4.044,144A
